"","Gargett.ï..Year","Gargett.Season","Gargett.Scenario","Gargett.Site","Gargett.Habitat","Mirani.ï..Year","Mirani.Season","Mirani.Scenario","Mirani.Site","Mirani.Habitat","Sarichs.ï..Year","Sarichs.Season","Sarichs.Scenario","Sarichs.Site","Sarichs.Habitat","Whitefd.ï..Year","Whitefd.Season","Whitefd.Scenario","Whitefd.Site","Whitefd.Habitat"
"135",1893,"Apr-Jun","PD","Gargett",23.59,1893,"Apr-Jun","PD","Mirani",16.46,1893,"Apr-Jun","PD","Sarichs",21.92,1893,"Apr-Jun","PD","Whitefd",8.62
"136",1894,"Apr-Jun","PD","Gargett",11.31,1894,"Apr-Jun","PD","Mirani",16.15,1894,"Apr-Jun","PD","Sarichs",15.54,1894,"Apr-Jun","PD","Whitefd",10.86
"137",1895,"Apr-Jun","PD","Gargett",15.5,1895,"Apr-Jun","PD","Mirani",19.81,1895,"Apr-Jun","PD","Sarichs",33.15,1895,"Apr-Jun","PD","Whitefd",18.4
"138",1896,"Apr-Jun","PD","Gargett",10.09,1896,"Apr-Jun","PD","Mirani",8.87,1896,"Apr-Jun","PD","Sarichs",1.06,1896,"Apr-Jun","PD","Whitefd",2.77
"139",1897,"Apr-Jun","PD","Gargett",18.2,1897,"Apr-Jun","PD","Mirani",22.57,1897,"Apr-Jun","PD","Sarichs",30.36,1897,"Apr-Jun","PD","Whitefd",16.29
"140",1898,"Apr-Jun","PD","Gargett",17.37,1898,"Apr-Jun","PD","Mirani",15.9,1898,"Apr-Jun","PD","Sarichs",9.21,1898,"Apr-Jun","PD","Whitefd",5.86
"141",1899,"Apr-Jun","PD","Gargett",8.65,1899,"Apr-Jun","PD","Mirani",5.83,1899,"Apr-Jun","PD","Sarichs",0.93,1899,"Apr-Jun","PD","Whitefd",2
"142",1900,"Apr-Jun","PD","Gargett",12.01,1900,"Apr-Jun","PD","Mirani",14.75,1900,"Apr-Jun","PD","Sarichs",5.19,1900,"Apr-Jun","PD","Whitefd",4.44
"143",1901,"Apr-Jun","PD","Gargett",5.71,1901,"Apr-Jun","PD","Mirani",1.7,1901,"Apr-Jun","PD","Sarichs",0,1901,"Apr-Jun","PD","Whitefd",0.69
"144",1902,"Apr-Jun","PD","Gargett",16.24,1902,"Apr-Jun","PD","Mirani",14.97,1902,"Apr-Jun","PD","Sarichs",9.95,1902,"Apr-Jun","PD","Whitefd",7.5
"145",1903,"Apr-Jun","PD","Gargett",10.86,1903,"Apr-Jun","PD","Mirani",12.61,1903,"Apr-Jun","PD","Sarichs",4.8,1903,"Apr-Jun","PD","Whitefd",3.48
"146",1904,"Apr-Jun","PD","Gargett",10.51,1904,"Apr-Jun","PD","Mirani",12.81,1904,"Apr-Jun","PD","Sarichs",5.96,1904,"Apr-Jun","PD","Whitefd",5
"147",1905,"Apr-Jun","PD","Gargett",16.64,1905,"Apr-Jun","PD","Mirani",19.65,1905,"Apr-Jun","PD","Sarichs",30.75,1905,"Apr-Jun","PD","Whitefd",15.71
"148",1906,"Apr-Jun","PD","Gargett",9.82,1906,"Apr-Jun","PD","Mirani",9.43,1906,"Apr-Jun","PD","Sarichs",3.21,1906,"Apr-Jun","PD","Whitefd",2.58
"149",1907,"Apr-Jun","PD","Gargett",18.49,1907,"Apr-Jun","PD","Mirani",15.42,1907,"Apr-Jun","PD","Sarichs",19.06,1907,"Apr-Jun","PD","Whitefd",10.8
"150",1908,"Apr-Jun","PD","Gargett",10.82,1908,"Apr-Jun","PD","Mirani",13.88,1908,"Apr-Jun","PD","Sarichs",5.87,1908,"Apr-Jun","PD","Whitefd",4.89
"151",1909,"Apr-Jun","PD","Gargett",20.14,1909,"Apr-Jun","PD","Mirani",24.43,1909,"Apr-Jun","PD","Sarichs",33.99,1909,"Apr-Jun","PD","Whitefd",17.03
"152",1910,"Apr-Jun","PD","Gargett",16.54,1910,"Apr-Jun","PD","Mirani",16.88,1910,"Apr-Jun","PD","Sarichs",17.24,1910,"Apr-Jun","PD","Whitefd",9.51
"153",1911,"Apr-Jun","PD","Gargett",9.15,1911,"Apr-Jun","PD","Mirani",8.02,1911,"Apr-Jun","PD","Sarichs",2.48,1911,"Apr-Jun","PD","Whitefd",1.74
"154",1912,"Apr-Jun","PD","Gargett",22.43,1912,"Apr-Jun","PD","Mirani",17.53,1912,"Apr-Jun","PD","Sarichs",23.58,1912,"Apr-Jun","PD","Whitefd",12.65
"155",1913,"Apr-Jun","PD","Gargett",14.81,1913,"Apr-Jun","PD","Mirani",15.36,1913,"Apr-Jun","PD","Sarichs",12.21,1913,"Apr-Jun","PD","Whitefd",7.15
"156",1914,"Apr-Jun","PD","Gargett",0,1914,"Apr-Jun","PD","Mirani",0,1914,"Apr-Jun","PD","Sarichs",0,1914,"Apr-Jun","PD","Whitefd",0
"157",1915,"Apr-Jun","PD","Gargett",8.66,1915,"Apr-Jun","PD","Mirani",6.01,1915,"Apr-Jun","PD","Sarichs",0,1915,"Apr-Jun","PD","Whitefd",0.15
"158",1916,"Apr-Jun","PD","Gargett",12.4,1916,"Apr-Jun","PD","Mirani",16.68,1916,"Apr-Jun","PD","Sarichs",16.83,1916,"Apr-Jun","PD","Whitefd",10.68
"159",1917,"Apr-Jun","PD","Gargett",15.63,1917,"Apr-Jun","PD","Mirani",18.49,1917,"Apr-Jun","PD","Sarichs",23.13,1917,"Apr-Jun","PD","Whitefd",12.41
"160",1918,"Apr-Jun","PD","Gargett",16.89,1918,"Apr-Jun","PD","Mirani",12.97,1918,"Apr-Jun","PD","Sarichs",10.08,1918,"Apr-Jun","PD","Whitefd",3.79
"161",1919,"Apr-Jun","PD","Gargett",17.49,1919,"Apr-Jun","PD","Mirani",10.87,1919,"Apr-Jun","PD","Sarichs",5.81,1919,"Apr-Jun","PD","Whitefd",2.6
"162",1920,"Apr-Jun","PD","Gargett",15.81,1920,"Apr-Jun","PD","Mirani",16.47,1920,"Apr-Jun","PD","Sarichs",18.07,1920,"Apr-Jun","PD","Whitefd",8.43
"163",1921,"Apr-Jun","PD","Gargett",10.86,1921,"Apr-Jun","PD","Mirani",13.38,1921,"Apr-Jun","PD","Sarichs",2.28,1921,"Apr-Jun","PD","Whitefd",3.11
"164",1922,"Apr-Jun","PD","Gargett",8.54,1922,"Apr-Jun","PD","Mirani",8.61,1922,"Apr-Jun","PD","Sarichs",1.46,1922,"Apr-Jun","PD","Whitefd",2.36
"165",1923,"Apr-Jun","PD","Gargett",11.72,1923,"Apr-Jun","PD","Mirani",15.26,1923,"Apr-Jun","PD","Sarichs",9.07,1923,"Apr-Jun","PD","Whitefd",5.34
"166",1924,"Apr-Jun","PD","Gargett",17.36,1924,"Apr-Jun","PD","Mirani",17.35,1924,"Apr-Jun","PD","Sarichs",10.85,1924,"Apr-Jun","PD","Whitefd",8.85
"167",1925,"Apr-Jun","PD","Gargett",8.69,1925,"Apr-Jun","PD","Mirani",5.37,1925,"Apr-Jun","PD","Sarichs",0.99,1925,"Apr-Jun","PD","Whitefd",2.83
"168",1926,"Apr-Jun","PD","Gargett",15.02,1926,"Apr-Jun","PD","Mirani",14.17,1926,"Apr-Jun","PD","Sarichs",6.44,1926,"Apr-Jun","PD","Whitefd",4.14
"169",1927,"Apr-Jun","PD","Gargett",20.96,1927,"Apr-Jun","PD","Mirani",18.12,1927,"Apr-Jun","PD","Sarichs",11.66,1927,"Apr-Jun","PD","Whitefd",6.16
"170",1928,"Apr-Jun","PD","Gargett",18.81,1928,"Apr-Jun","PD","Mirani",16.4,1928,"Apr-Jun","PD","Sarichs",14.96,1928,"Apr-Jun","PD","Whitefd",6.95
"171",1929,"Apr-Jun","PD","Gargett",10.59,1929,"Apr-Jun","PD","Mirani",13.06,1929,"Apr-Jun","PD","Sarichs",8.61,1929,"Apr-Jun","PD","Whitefd",6.98
"172",1930,"Apr-Jun","PD","Gargett",10.76,1930,"Apr-Jun","PD","Mirani",12.05,1930,"Apr-Jun","PD","Sarichs",3.33,1930,"Apr-Jun","PD","Whitefd",3.95
"173",1931,"Apr-Jun","PD","Gargett",10.98,1931,"Apr-Jun","PD","Mirani",11.7,1931,"Apr-Jun","PD","Sarichs",3.35,1931,"Apr-Jun","PD","Whitefd",3.47
"174",1932,"Apr-Jun","PD","Gargett",9.72,1932,"Apr-Jun","PD","Mirani",11.76,1932,"Apr-Jun","PD","Sarichs",2.48,1932,"Apr-Jun","PD","Whitefd",2.85
"175",1933,"Apr-Jun","PD","Gargett",12.75,1933,"Apr-Jun","PD","Mirani",17.4,1933,"Apr-Jun","PD","Sarichs",9.35,1933,"Apr-Jun","PD","Whitefd",6.01
"176",1934,"Apr-Jun","PD","Gargett",9.06,1934,"Apr-Jun","PD","Mirani",7.71,1934,"Apr-Jun","PD","Sarichs",0,1934,"Apr-Jun","PD","Whitefd",0
"177",1935,"Apr-Jun","PD","Gargett",18.2,1935,"Apr-Jun","PD","Mirani",18.56,1935,"Apr-Jun","PD","Sarichs",20.31,1935,"Apr-Jun","PD","Whitefd",11.4
"178",1936,"Apr-Jun","PD","Gargett",11.14,1936,"Apr-Jun","PD","Mirani",14.2,1936,"Apr-Jun","PD","Sarichs",6.87,1936,"Apr-Jun","PD","Whitefd",5.18
"179",1937,"Apr-Jun","PD","Gargett",9.59,1937,"Apr-Jun","PD","Mirani",9.15,1937,"Apr-Jun","PD","Sarichs",5.93,1937,"Apr-Jun","PD","Whitefd",4.1
"180",1938,"Apr-Jun","PD","Gargett",20.18,1938,"Apr-Jun","PD","Mirani",15.62,1938,"Apr-Jun","PD","Sarichs",8.43,1938,"Apr-Jun","PD","Whitefd",4.37
"181",1939,"Apr-Jun","PD","Gargett",15.21,1939,"Apr-Jun","PD","Mirani",15.97,1939,"Apr-Jun","PD","Sarichs",21.21,1939,"Apr-Jun","PD","Whitefd",11.9
"182",1940,"Apr-Jun","PD","Gargett",24.37,1940,"Apr-Jun","PD","Mirani",19.44,1940,"Apr-Jun","PD","Sarichs",18.65,1940,"Apr-Jun","PD","Whitefd",6.79
"183",1941,"Apr-Jun","PD","Gargett",11.67,1941,"Apr-Jun","PD","Mirani",15.41,1941,"Apr-Jun","PD","Sarichs",8.87,1941,"Apr-Jun","PD","Whitefd",5.88
"184",1942,"Apr-Jun","PD","Gargett",11.65,1942,"Apr-Jun","PD","Mirani",16.1,1942,"Apr-Jun","PD","Sarichs",21.21,1942,"Apr-Jun","PD","Whitefd",14.19
"185",1943,"Apr-Jun","PD","Gargett",17.26,1943,"Apr-Jun","PD","Mirani",18.87,1943,"Apr-Jun","PD","Sarichs",10.59,1943,"Apr-Jun","PD","Whitefd",6.23
"186",1944,"Apr-Jun","PD","Gargett",14.61,1944,"Apr-Jun","PD","Mirani",10.91,1944,"Apr-Jun","PD","Sarichs",4.43,1944,"Apr-Jun","PD","Whitefd",3.45
"187",1945,"Apr-Jun","PD","Gargett",16.37,1945,"Apr-Jun","PD","Mirani",19.07,1945,"Apr-Jun","PD","Sarichs",20.26,1945,"Apr-Jun","PD","Whitefd",9.77
"188",1946,"Apr-Jun","PD","Gargett",13.08,1946,"Apr-Jun","PD","Mirani",14.6,1946,"Apr-Jun","PD","Sarichs",9.42,1946,"Apr-Jun","PD","Whitefd",5.74
"189",1947,"Apr-Jun","PD","Gargett",8.19,1947,"Apr-Jun","PD","Mirani",7.6,1947,"Apr-Jun","PD","Sarichs",1.54,1947,"Apr-Jun","PD","Whitefd",1.98
"190",1948,"Apr-Jun","PD","Gargett",20.74,1948,"Apr-Jun","PD","Mirani",20.47,1948,"Apr-Jun","PD","Sarichs",9.25,1948,"Apr-Jun","PD","Whitefd",7.06
"191",1949,"Apr-Jun","PD","Gargett",25.32,1949,"Apr-Jun","PD","Mirani",23.45,1949,"Apr-Jun","PD","Sarichs",21.19,1949,"Apr-Jun","PD","Whitefd",8.16
"192",1950,"Apr-Jun","PD","Gargett",10.93,1950,"Apr-Jun","PD","Mirani",15.68,1950,"Apr-Jun","PD","Sarichs",16.86,1950,"Apr-Jun","PD","Whitefd",11.74
"193",1951,"Apr-Jun","PD","Gargett",9.92,1951,"Apr-Jun","PD","Mirani",11.56,1951,"Apr-Jun","PD","Sarichs",4.37,1951,"Apr-Jun","PD","Whitefd",3.71
"194",1952,"Apr-Jun","PD","Gargett",13.57,1952,"Apr-Jun","PD","Mirani",15.41,1952,"Apr-Jun","PD","Sarichs",7.89,1952,"Apr-Jun","PD","Whitefd",6.65
"195",1953,"Apr-Jun","PD","Gargett",23.19,1953,"Apr-Jun","PD","Mirani",21.12,1953,"Apr-Jun","PD","Sarichs",26.55,1953,"Apr-Jun","PD","Whitefd",13.6
"196",1954,"Apr-Jun","PD","Gargett",25.35,1954,"Apr-Jun","PD","Mirani",26.71,1954,"Apr-Jun","PD","Sarichs",31.89,1954,"Apr-Jun","PD","Whitefd",10.7
"197",1955,"Apr-Jun","PD","Gargett",24.42,1955,"Apr-Jun","PD","Mirani",19.19,1955,"Apr-Jun","PD","Sarichs",6.68,1955,"Apr-Jun","PD","Whitefd",2.33
"198",1956,"Apr-Jun","PD","Gargett",9.98,1956,"Apr-Jun","PD","Mirani",11.81,1956,"Apr-Jun","PD","Sarichs",2.74,1956,"Apr-Jun","PD","Whitefd",3.02
"199",1957,"Apr-Jun","PD","Gargett",19.5,1957,"Apr-Jun","PD","Mirani",19.9,1957,"Apr-Jun","PD","Sarichs",26.6,1957,"Apr-Jun","PD","Whitefd",9.95
"200",1958,"Apr-Jun","PD","Gargett",15.01,1958,"Apr-Jun","PD","Mirani",16.19,1958,"Apr-Jun","PD","Sarichs",7.63,1958,"Apr-Jun","PD","Whitefd",5.8
"201",1959,"Apr-Jun","PD","Gargett",12.72,1959,"Apr-Jun","PD","Mirani",16.87,1959,"Apr-Jun","PD","Sarichs",19.61,1959,"Apr-Jun","PD","Whitefd",12.27
"202",1960,"Apr-Jun","PD","Gargett",11.04,1960,"Apr-Jun","PD","Mirani",12.21,1960,"Apr-Jun","PD","Sarichs",6.27,1960,"Apr-Jun","PD","Whitefd",4.96
"203",1961,"Apr-Jun","PD","Gargett",14.25,1961,"Apr-Jun","PD","Mirani",15.32,1961,"Apr-Jun","PD","Sarichs",6.81,1961,"Apr-Jun","PD","Whitefd",4.63
"204",1962,"Apr-Jun","PD","Gargett",20.61,1962,"Apr-Jun","PD","Mirani",20.51,1962,"Apr-Jun","PD","Sarichs",29.69,1962,"Apr-Jun","PD","Whitefd",14.4
"205",1963,"Apr-Jun","PD","Gargett",11.72,1963,"Apr-Jun","PD","Mirani",11.79,1963,"Apr-Jun","PD","Sarichs",4.13,1963,"Apr-Jun","PD","Whitefd",3.1
"206",1964,"Apr-Jun","PD","Gargett",9.52,1964,"Apr-Jun","PD","Mirani",9.51,1964,"Apr-Jun","PD","Sarichs",0,1964,"Apr-Jun","PD","Whitefd",0.52
"207",1965,"Apr-Jun","PD","Gargett",8.43,1965,"Apr-Jun","PD","Mirani",6.92,1965,"Apr-Jun","PD","Sarichs",1.54,1965,"Apr-Jun","PD","Whitefd",2.22
"208",1966,"Apr-Jun","PD","Gargett",11.87,1966,"Apr-Jun","PD","Mirani",10.3,1966,"Apr-Jun","PD","Sarichs",0.05,1966,"Apr-Jun","PD","Whitefd",1.81
"209",1967,"Apr-Jun","PD","Gargett",13.98,1967,"Apr-Jun","PD","Mirani",15.8,1967,"Apr-Jun","PD","Sarichs",7.99,1967,"Apr-Jun","PD","Whitefd",5.18
"210",1968,"Apr-Jun","PD","Gargett",10.53,1968,"Apr-Jun","PD","Mirani",11.44,1968,"Apr-Jun","PD","Sarichs",1.35,1968,"Apr-Jun","PD","Whitefd",2.31
"211",1969,"Apr-Jun","PD","Gargett",13.3,1969,"Apr-Jun","PD","Mirani",15.04,1969,"Apr-Jun","PD","Sarichs",5.15,1969,"Apr-Jun","PD","Whitefd",4.4
"212",1970,"Apr-Jun","PD","Gargett",13.78,1970,"Apr-Jun","PD","Mirani",16.52,1970,"Apr-Jun","PD","Sarichs",9.53,1970,"Apr-Jun","PD","Whitefd",8.57
"213",1971,"Apr-Jun","PD","Gargett",11.6,1971,"Apr-Jun","PD","Mirani",17.25,1971,"Apr-Jun","PD","Sarichs",14.38,1971,"Apr-Jun","PD","Whitefd",9.95
"214",1972,"Apr-Jun","PD","Gargett",10.83,1972,"Apr-Jun","PD","Mirani",11.5,1972,"Apr-Jun","PD","Sarichs",4.18,1972,"Apr-Jun","PD","Whitefd",2.94
"215",1973,"Apr-Jun","PD","Gargett",23.04,1973,"Apr-Jun","PD","Mirani",23.11,1973,"Apr-Jun","PD","Sarichs",28.81,1973,"Apr-Jun","PD","Whitefd",15.02
"216",1974,"Apr-Jun","PD","Gargett",15.04,1974,"Apr-Jun","PD","Mirani",15.44,1974,"Apr-Jun","PD","Sarichs",7.49,1974,"Apr-Jun","PD","Whitefd",4.63
"217",1975,"Apr-Jun","PD","Gargett",19.03,1975,"Apr-Jun","PD","Mirani",27.33,1975,"Apr-Jun","PD","Sarichs",27.02,1975,"Apr-Jun","PD","Whitefd",10.41
"218",1976,"Apr-Jun","PD","Gargett",25.58,1976,"Apr-Jun","PD","Mirani",20.38,1976,"Apr-Jun","PD","Sarichs",30.21,1976,"Apr-Jun","PD","Whitefd",8.81
"219",1977,"Apr-Jun","PD","Gargett",10.03,1977,"Apr-Jun","PD","Mirani",13.2,1977,"Apr-Jun","PD","Sarichs",6.53,1977,"Apr-Jun","PD","Whitefd",2.78
"220",1978,"Apr-Jun","PD","Gargett",21.61,1978,"Apr-Jun","PD","Mirani",21.37,1978,"Apr-Jun","PD","Sarichs",30.56,1978,"Apr-Jun","PD","Whitefd",14.39
"221",1979,"Apr-Jun","PD","Gargett",15.27,1979,"Apr-Jun","PD","Mirani",14.85,1979,"Apr-Jun","PD","Sarichs",6.55,1979,"Apr-Jun","PD","Whitefd",3.08
"222",1980,"Apr-Jun","PD","Gargett",17.69,1980,"Apr-Jun","PD","Mirani",13.73,1980,"Apr-Jun","PD","Sarichs",8.97,1980,"Apr-Jun","PD","Whitefd",3.33
"223",1981,"Apr-Jun","PD","Gargett",9.78,1981,"Apr-Jun","PD","Mirani",10.51,1981,"Apr-Jun","PD","Sarichs",2.54,1981,"Apr-Jun","PD","Whitefd",2.08
"224",1982,"Apr-Jun","PD","Gargett",8.31,1982,"Apr-Jun","PD","Mirani",5.21,1982,"Apr-Jun","PD","Sarichs",2.01,1982,"Apr-Jun","PD","Whitefd",0.94
"225",1983,"Apr-Jun","PD","Gargett",8.72,1983,"Apr-Jun","PD","Mirani",6.33,1983,"Apr-Jun","PD","Sarichs",0.68,1983,"Apr-Jun","PD","Whitefd",0.72
"226",1984,"Apr-Jun","PD","Gargett",18.62,1984,"Apr-Jun","PD","Mirani",15.81,1984,"Apr-Jun","PD","Sarichs",8.48,1984,"Apr-Jun","PD","Whitefd",3.71
"227",1985,"Apr-Jun","PD","Gargett",11.29,1985,"Apr-Jun","PD","Mirani",10.36,1985,"Apr-Jun","PD","Sarichs",2.49,1985,"Apr-Jun","PD","Whitefd",1.75
"228",1986,"Apr-Jun","PD","Gargett",7.78,1986,"Apr-Jun","PD","Mirani",6.29,1986,"Apr-Jun","PD","Sarichs",0.06,1986,"Apr-Jun","PD","Whitefd",0.35
"229",1987,"Apr-Jun","PD","Gargett",12.25,1987,"Apr-Jun","PD","Mirani",14.7,1987,"Apr-Jun","PD","Sarichs",5.02,1987,"Apr-Jun","PD","Whitefd",2.89
"230",1988,"Apr-Jun","PD","Gargett",29.08,1988,"Apr-Jun","PD","Mirani",27.81,1988,"Apr-Jun","PD","Sarichs",7.33,1988,"Apr-Jun","PD","Whitefd",2.52
"231",1989,"Apr-Jun","PD","Gargett",20.33,1989,"Apr-Jun","PD","Mirani",8.05,1989,"Apr-Jun","PD","Sarichs",11.88,1989,"Apr-Jun","PD","Whitefd",3.37
"232",1990,"Apr-Jun","PD","Gargett",11.77,1990,"Apr-Jun","PD","Mirani",17.86,1990,"Apr-Jun","PD","Sarichs",24.64,1990,"Apr-Jun","PD","Whitefd",11.28
"233",1991,"Apr-Jun","PD","Gargett",4.04,1991,"Apr-Jun","PD","Mirani",1.1,1991,"Apr-Jun","PD","Sarichs",0.14,1991,"Apr-Jun","PD","Whitefd",0.07
"234",1992,"Apr-Jun","PD","Gargett",7.88,1992,"Apr-Jun","PD","Mirani",7.43,1992,"Apr-Jun","PD","Sarichs",0,1992,"Apr-Jun","PD","Whitefd",0.02
"235",1993,"Apr-Jun","PD","Gargett",11.28,1993,"Apr-Jun","PD","Mirani",14.01,1993,"Apr-Jun","PD","Sarichs",1.84,1993,"Apr-Jun","PD","Whitefd",2.26
"236",1994,"Apr-Jun","PD","Gargett",8.9,1994,"Apr-Jun","PD","Mirani",9.55,1994,"Apr-Jun","PD","Sarichs",0.52,1994,"Apr-Jun","PD","Whitefd",2.77
"237",1995,"Apr-Jun","PD","Gargett",8.44,1995,"Apr-Jun","PD","Mirani",9.07,1995,"Apr-Jun","PD","Sarichs",2.1,1995,"Apr-Jun","PD","Whitefd",1.89
"238",1996,"Apr-Jun","PD","Gargett",13.43,1996,"Apr-Jun","PD","Mirani",15.39,1996,"Apr-Jun","PD","Sarichs",6.26,1996,"Apr-Jun","PD","Whitefd",4.77
"239",1997,"Apr-Jun","PD","Gargett",10.6,1997,"Apr-Jun","PD","Mirani",10.84,1997,"Apr-Jun","PD","Sarichs",0.87,1997,"Apr-Jun","PD","Whitefd",1.26
"240",1998,"Apr-Jun","PD","Gargett",22.99,1998,"Apr-Jun","PD","Mirani",17.84,1998,"Apr-Jun","PD","Sarichs",13.24,1998,"Apr-Jun","PD","Whitefd",7.12
"241",1999,"Apr-Jun","PD","Gargett",27.62,1999,"Apr-Jun","PD","Mirani",17.78,1999,"Apr-Jun","PD","Sarichs",11.74,1999,"Apr-Jun","PD","Whitefd",4.58
"242",2000,"Apr-Jun","PD","Gargett",14.07,2000,"Apr-Jun","PD","Mirani",15.83,2000,"Apr-Jun","PD","Sarichs",11.34,2000,"Apr-Jun","PD","Whitefd",9.95
"243",2001,"Apr-Jun","PD","Gargett",7.61,2001,"Apr-Jun","PD","Mirani",5.52,2001,"Apr-Jun","PD","Sarichs",1.47,2001,"Apr-Jun","PD","Whitefd",1.74
"244",2002,"Apr-Jun","PD","Gargett",7.61,2002,"Apr-Jun","PD","Mirani",6.38,2002,"Apr-Jun","PD","Sarichs",2.16,2002,"Apr-Jun","PD","Whitefd",1.46
"245",2003,"Apr-Jun","PD","Gargett",8.48,2003,"Apr-Jun","PD","Mirani",5.38,2003,"Apr-Jun","PD","Sarichs",0.31,2003,"Apr-Jun","PD","Whitefd",0.96
"246",2004,"Apr-Jun","PD","Gargett",9.13,2004,"Apr-Jun","PD","Mirani",8.99,2004,"Apr-Jun","PD","Sarichs",0.05,2004,"Apr-Jun","PD","Whitefd",0.2
"247",2005,"Apr-Jun","PD","Gargett",11.92,2005,"Apr-Jun","PD","Mirani",10.91,2005,"Apr-Jun","PD","Sarichs",0.81,2005,"Apr-Jun","PD","Whitefd",0.29
"248",2006,"Apr-Jun","PD","Gargett",17.62,2006,"Apr-Jun","PD","Mirani",14.79,2006,"Apr-Jun","PD","Sarichs",5.46,2006,"Apr-Jun","PD","Whitefd",2.36
"249",2007,"Apr-Jun","PD","Gargett",12.42,2007,"Apr-Jun","PD","Mirani",15.79,2007,"Apr-Jun","PD","Sarichs",8.78,2007,"Apr-Jun","PD","Whitefd",7.97
"250",2008,"Apr-Jun","PD","Gargett",14.82,2008,"Apr-Jun","PD","Mirani",16.5,2008,"Apr-Jun","PD","Sarichs",13.59,2008,"Apr-Jun","PD","Whitefd",6.88
"251",2009,"Apr-Jun","PD","Gargett",21.26,2009,"Apr-Jun","PD","Mirani",26.08,2009,"Apr-Jun","PD","Sarichs",21.64,2009,"Apr-Jun","PD","Whitefd",10.84
"252",2010,"Apr-Jun","PD","Gargett",20.28,2010,"Apr-Jun","PD","Mirani",26.16,2010,"Apr-Jun","PD","Sarichs",23,2010,"Apr-Jun","PD","Whitefd",10.88
"253",2011,"Apr-Jun","PD","Gargett",16.5,2011,"Apr-Jun","PD","Mirani",19.07,2011,"Apr-Jun","PD","Sarichs",19.68,2011,"Apr-Jun","PD","Whitefd",7.96
"254",2012,"Apr-Jun","PD","Gargett",23.63,2012,"Apr-Jun","PD","Mirani",23.19,2012,"Apr-Jun","PD","Sarichs",24.61,2012,"Apr-Jun","PD","Whitefd",11.66
"255",2013,"Apr-Jun","PD","Gargett",16.81,2013,"Apr-Jun","PD","Mirani",13.71,2013,"Apr-Jun","PD","Sarichs",10.6,2013,"Apr-Jun","PD","Whitefd",6.44
"256",2014,"Apr-Jun","PD","Gargett",8.23,2014,"Apr-Jun","PD","Mirani",9.02,2014,"Apr-Jun","PD","Sarichs",1.94,2014,"Apr-Jun","PD","Whitefd",0.91
"257",2015,"Apr-Jun","PD","Gargett",9.68,2015,"Apr-Jun","PD","Mirani",10.61,2015,"Apr-Jun","PD","Sarichs",2.53,2015,"Apr-Jun","PD","Whitefd",0.95
"258",2016,"Apr-Jun","PD","Gargett",15.82,2016,"Apr-Jun","PD","Mirani",13.89,2016,"Apr-Jun","PD","Sarichs",11.61,2016,"Apr-Jun","PD","Whitefd",9.35
"259",2017,"Apr-Jun","PD","Gargett",14.4,2017,"Apr-Jun","PD","Mirani",13.67,2017,"Apr-Jun","PD","Sarichs",4.41,2017,"Apr-Jun","PD","Whitefd",2.26
"260",2018,"Apr-Jun","PD","Gargett",16.67,2018,"Apr-Jun","PD","Mirani",16.15,2018,"Apr-Jun","PD","Sarichs",11.04,2018,"Apr-Jun","PD","Whitefd",9.7
"261",1889,"Jul-Sep","PD","Gargett",9.74,1889,"Jul-Sep","PD","Mirani",8.84,1889,"Jul-Sep","PD","Sarichs",2.93,1889,"Jul-Sep","PD","Whitefd",2.78
"262",1890,"Jul-Sep","PD","Gargett",9.8,1890,"Jul-Sep","PD","Mirani",12.05,1890,"Jul-Sep","PD","Sarichs",7.81,1890,"Jul-Sep","PD","Whitefd",6.89
"263",1891,"Jul-Sep","PD","Gargett",12.15,1891,"Jul-Sep","PD","Mirani",16.84,1891,"Jul-Sep","PD","Sarichs",17.97,1891,"Jul-Sep","PD","Whitefd",11.42
"264",1892,"Jul-Sep","PD","Gargett",7.53,1892,"Jul-Sep","PD","Mirani",3.53,1892,"Jul-Sep","PD","Sarichs",0,1892,"Jul-Sep","PD","Whitefd",0
"265",1893,"Jul-Sep","PD","Gargett",9.61,1893,"Jul-Sep","PD","Mirani",9.23,1893,"Jul-Sep","PD","Sarichs",3.39,1893,"Jul-Sep","PD","Whitefd",3.19
"266",1894,"Jul-Sep","PD","Gargett",15.92,1894,"Jul-Sep","PD","Mirani",17.17,1894,"Jul-Sep","PD","Sarichs",21.26,1894,"Jul-Sep","PD","Whitefd",12.44
"267",1895,"Jul-Sep","PD","Gargett",7.2,1895,"Jul-Sep","PD","Mirani",4.24,1895,"Jul-Sep","PD","Sarichs",1.17,1895,"Jul-Sep","PD","Whitefd",2.31
"268",1896,"Jul-Sep","PD","Gargett",8.12,1896,"Jul-Sep","PD","Mirani",7.43,1896,"Jul-Sep","PD","Sarichs",5.02,1896,"Jul-Sep","PD","Whitefd",4.82
"269",1897,"Jul-Sep","PD","Gargett",5.01,1897,"Jul-Sep","PD","Mirani",1.44,1897,"Jul-Sep","PD","Sarichs",0,1897,"Jul-Sep","PD","Whitefd",0.08
"270",1898,"Jul-Sep","PD","Gargett",9,1898,"Jul-Sep","PD","Mirani",9.43,1898,"Jul-Sep","PD","Sarichs",6.09,1898,"Jul-Sep","PD","Whitefd",5.17
