"","ï..Year","Season","Scenario","Site","Habitat"
"518",2016,"Oct-Dec","PD","Gargett",8.03
"519",2017,"Oct-Dec","PD","Gargett",6.83
"520",2018,"Oct-Dec","PD","Gargett",4.54
"521",1889,"Jan-Mar","FE","Gargett",19.49
"522",1890,"Jan-Mar","FE","Gargett",28.16
"523",1891,"Jan-Mar","FE","Gargett",9.38
"524",1892,"Jan-Mar","FE","Gargett",12.51
"525",1893,"Jan-Mar","FE","Gargett",21.91
"526",1894,"Jan-Mar","FE","Gargett",14.09
"527",1895,"Jan-Mar","FE","Gargett",17.71
"528",1896,"Jan-Mar","FE","Gargett",10.59
"529",1897,"Jan-Mar","FE","Gargett",16.94
"530",1898,"Jan-Mar","FE","Gargett",14.99
"531",1899,"Jan-Mar","FE","Gargett",12.45
"532",1900,"Jan-Mar","FE","Gargett",17.81
"533",1901,"Jan-Mar","FE","Gargett",6.73
"534",1902,"Jan-Mar","FE","Gargett",6.27
"535",1903,"Jan-Mar","FE","Gargett",16.71
"536",1904,"Jan-Mar","FE","Gargett",17.32
"537",1905,"Jan-Mar","FE","Gargett",14.49
"538",1906,"Jan-Mar","FE","Gargett",8.93
"539",1907,"Jan-Mar","FE","Gargett",10.88
"540",1908,"Jan-Mar","FE","Gargett",16.76
"541",1909,"Jan-Mar","FE","Gargett",9.67
"542",1910,"Jan-Mar","FE","Gargett",20.74
"543",1911,"Jan-Mar","FE","Gargett",9.44
"544",1912,"Jan-Mar","FE","Gargett",19.3
"545",1913,"Jan-Mar","FE","Gargett",18.54
"546",1914,"Jan-Mar","FE","Gargett",7.84
"547",1915,"Jan-Mar","FE","Gargett",8.06
"548",1916,"Jan-Mar","FE","Gargett",21.67
"549",1917,"Jan-Mar","FE","Gargett",12.49
"550",1918,"Jan-Mar","FE","Gargett",8.82
"551",1919,"Jan-Mar","FE","Gargett",7.97
"552",1920,"Jan-Mar","FE","Gargett",11.98
"553",1921,"Jan-Mar","FE","Gargett",14.6
"554",1922,"Jan-Mar","FE","Gargett",7.48
"555",1923,"Jan-Mar","FE","Gargett",11.05
"556",1924,"Jan-Mar","FE","Gargett",9.02
"557",1925,"Jan-Mar","FE","Gargett",6.51
"558",1926,"Jan-Mar","FE","Gargett",18.86
"559",1927,"Jan-Mar","FE","Gargett",21.66
"560",1928,"Jan-Mar","FE","Gargett",15.84
"561",1929,"Jan-Mar","FE","Gargett",9.54
"562",1930,"Jan-Mar","FE","Gargett",7.97
"563",1931,"Jan-Mar","FE","Gargett",7.48
"564",1932,"Jan-Mar","FE","Gargett",10.58
"565",1933,"Jan-Mar","FE","Gargett",15.29
"566",1934,"Jan-Mar","FE","Gargett",6.6
"567",1935,"Jan-Mar","FE","Gargett",5.37
"568",1936,"Jan-Mar","FE","Gargett",9.54
"569",1937,"Jan-Mar","FE","Gargett",6.85
"570",1938,"Jan-Mar","FE","Gargett",14.74
"571",1939,"Jan-Mar","FE","Gargett",14.58
"572",1940,"Jan-Mar","FE","Gargett",22.15
"573",1941,"Jan-Mar","FE","Gargett",8.29
"574",1942,"Jan-Mar","FE","Gargett",14.34
"575",1943,"Jan-Mar","FE","Gargett",12.13
"576",1944,"Jan-Mar","FE","Gargett",7.22
"577",1945,"Jan-Mar","FE","Gargett",21.5
"578",1946,"Jan-Mar","FE","Gargett",13.96
"579",1947,"Jan-Mar","FE","Gargett",7.52
"580",1948,"Jan-Mar","FE","Gargett",11.89
"581",1949,"Jan-Mar","FE","Gargett",14.3
"582",1950,"Jan-Mar","FE","Gargett",23.52
"583",1951,"Jan-Mar","FE","Gargett",11.34
"584",1952,"Jan-Mar","FE","Gargett",22.86
"585",1953,"Jan-Mar","FE","Gargett",15.08
"586",1954,"Jan-Mar","FE","Gargett",9.56
"587",1955,"Jan-Mar","FE","Gargett",23.52
"588",1956,"Jan-Mar","FE","Gargett",18.9
"589",1957,"Jan-Mar","FE","Gargett",12.95
"590",1958,"Jan-Mar","FE","Gargett",15.93
"591",1959,"Jan-Mar","FE","Gargett",18.72
"592",1960,"Jan-Mar","FE","Gargett",13.34
"593",1961,"Jan-Mar","FE","Gargett",11.27
"594",1962,"Jan-Mar","FE","Gargett",22.13
"595",1963,"Jan-Mar","FE","Gargett",6.85
"596",1964,"Jan-Mar","FE","Gargett",7.13
"597",1965,"Jan-Mar","FE","Gargett",8.84
"598",1966,"Jan-Mar","FE","Gargett",6.97
"599",1967,"Jan-Mar","FE","Gargett",16.86
"600",1968,"Jan-Mar","FE","Gargett",6.25
"601",1969,"Jan-Mar","FE","Gargett",14.53
"602",1970,"Jan-Mar","FE","Gargett",7.09
"603",1971,"Jan-Mar","FE","Gargett",19.5
"604",1972,"Jan-Mar","FE","Gargett",7.78
"605",1973,"Jan-Mar","FE","Gargett",18.82
"606",1974,"Jan-Mar","FE","Gargett",21.56
"607",1975,"Jan-Mar","FE","Gargett",19.59
"608",1976,"Jan-Mar","FE","Gargett",12.35
"609",1977,"Jan-Mar","FE","Gargett",8.5
"610",1978,"Jan-Mar","FE","Gargett",6.06
"611",1979,"Jan-Mar","FE","Gargett",11.25
"612",1980,"Jan-Mar","FE","Gargett",23.95
"613",1981,"Jan-Mar","FE","Gargett",6.75
"614",1982,"Jan-Mar","FE","Gargett",4.91
"615",1983,"Jan-Mar","FE","Gargett",7.92
"616",1984,"Jan-Mar","FE","Gargett",8.09
"617",1985,"Jan-Mar","FE","Gargett",9.14
"618",1986,"Jan-Mar","FE","Gargett",7.87
"619",1987,"Jan-Mar","FE","Gargett",9.51
"620",1988,"Jan-Mar","FE","Gargett",10.78
"621",1989,"Jan-Mar","FE","Gargett",5.45
"622",1990,"Jan-Mar","FE","Gargett",13.3
"623",1991,"Jan-Mar","FE","Gargett",5.22
"624",1992,"Jan-Mar","FE","Gargett",5.64
"625",1993,"Jan-Mar","FE","Gargett",9.91
"626",1994,"Jan-Mar","FE","Gargett",5.02
"627",1995,"Jan-Mar","FE","Gargett",6.29
"628",1996,"Jan-Mar","FE","Gargett",7.37
"629",1997,"Jan-Mar","FE","Gargett",10.65
"630",1998,"Jan-Mar","FE","Gargett",33
"631",1999,"Jan-Mar","FE","Gargett",14.8
"632",2000,"Jan-Mar","FE","Gargett",15.77
"633",2001,"Jan-Mar","FE","Gargett",6.52
"634",2002,"Jan-Mar","FE","Gargett",7.36
"635",2003,"Jan-Mar","FE","Gargett",7.45
"636",2004,"Jan-Mar","FE","Gargett",5.4
"637",2005,"Jan-Mar","FE","Gargett",6.53
"638",2006,"Jan-Mar","FE","Gargett",16.97
"639",2007,"Jan-Mar","FE","Gargett",17.12
"640",2008,"Jan-Mar","FE","Gargett",19.89
"641",2009,"Jan-Mar","FE","Gargett",13.59
"642",2010,"Jan-Mar","FE","Gargett",19.93
"643",2011,"Jan-Mar","FE","Gargett",11.32
"644",2012,"Jan-Mar","FE","Gargett",7.87
"645",2013,"Jan-Mar","FE","Gargett",16.97
"646",2014,"Jan-Mar","FE","Gargett",7.94
"647",2015,"Jan-Mar","FE","Gargett",6.42
"648",2016,"Jan-Mar","FE","Gargett",14.02
"649",2017,"Jan-Mar","FE","Gargett",8.95
"650",2018,"Jan-Mar","FE","Gargett",13.57
"651",1889,"Apr-Jun","FE","Gargett",20.99
"652",1890,"Apr-Jun","FE","Gargett",22.48
"653",1891,"Apr-Jun","FE","Gargett",9.16
"654",1892,"Apr-Jun","FE","Gargett",10.55
"655",1893,"Apr-Jun","FE","Gargett",23.76
"656",1894,"Apr-Jun","FE","Gargett",11.55
"657",1895,"Apr-Jun","FE","Gargett",15.57
"658",1896,"Apr-Jun","FE","Gargett",10.21
"659",1897,"Apr-Jun","FE","Gargett",18.41
"660",1898,"Apr-Jun","FE","Gargett",17.98
"661",1899,"Apr-Jun","FE","Gargett",8.88
"662",1900,"Apr-Jun","FE","Gargett",12.31
"663",1901,"Apr-Jun","FE","Gargett",3.92
"664",1902,"Apr-Jun","FE","Gargett",16.57
"665",1903,"Apr-Jun","FE","Gargett",11.02
"666",1904,"Apr-Jun","FE","Gargett",10.64
"667",1905,"Apr-Jun","FE","Gargett",16.99
"668",1906,"Apr-Jun","FE","Gargett",9.77
"669",1907,"Apr-Jun","FE","Gargett",18.76
"670",1908,"Apr-Jun","FE","Gargett",11.09
"671",1909,"Apr-Jun","FE","Gargett",20.33
"672",1910,"Apr-Jun","FE","Gargett",16.76
"673",1911,"Apr-Jun","FE","Gargett",9.71
"674",1912,"Apr-Jun","FE","Gargett",22.68
"675",1913,"Apr-Jun","FE","Gargett",15.43
"676",1914,"Apr-Jun","FE","Gargett",10.76
"677",1915,"Apr-Jun","FE","Gargett",8.78
"678",1916,"Apr-Jun","FE","Gargett",12.47
"679",1917,"Apr-Jun","FE","Gargett",15.75
"680",1918,"Apr-Jun","FE","Gargett",17.09
"681",1919,"Apr-Jun","FE","Gargett",17.65
"682",1920,"Apr-Jun","FE","Gargett",15.92
"683",1921,"Apr-Jun","FE","Gargett",11.18
"684",1922,"Apr-Jun","FE","Gargett",8.79
"685",1923,"Apr-Jun","FE","Gargett",11.82
"686",1924,"Apr-Jun","FE","Gargett",17.46
"687",1925,"Apr-Jun","FE","Gargett",8.95
"688",1926,"Apr-Jun","FE","Gargett",15
"689",1927,"Apr-Jun","FE","Gargett",21.42
"690",1928,"Apr-Jun","FE","Gargett",18.85
"691",1929,"Apr-Jun","FE","Gargett",10.64
"692",1930,"Apr-Jun","FE","Gargett",11.17
"693",1931,"Apr-Jun","FE","Gargett",10.97
"694",1932,"Apr-Jun","FE","Gargett",9.94
"695",1933,"Apr-Jun","FE","Gargett",12.92
"696",1934,"Apr-Jun","FE","Gargett",9.14
"697",1935,"Apr-Jun","FE","Gargett",18.5
"698",1936,"Apr-Jun","FE","Gargett",11.26
"699",1937,"Apr-Jun","FE","Gargett",9.69
"700",1938,"Apr-Jun","FE","Gargett",20.3
"701",1939,"Apr-Jun","FE","Gargett",15.23
"702",1940,"Apr-Jun","FE","Gargett",24.52
"703",1941,"Apr-Jun","FE","Gargett",11.73
"704",1942,"Apr-Jun","FE","Gargett",11.73
"705",1943,"Apr-Jun","FE","Gargett",17.31
"706",1944,"Apr-Jun","FE","Gargett",14.67
"707",1945,"Apr-Jun","FE","Gargett",16.59
"708",1946,"Apr-Jun","FE","Gargett",13.08
"709",1947,"Apr-Jun","FE","Gargett",8.22
"710",1948,"Apr-Jun","FE","Gargett",20.85
"711",1949,"Apr-Jun","FE","Gargett",25.55
"712",1950,"Apr-Jun","FE","Gargett",11.22
"713",1951,"Apr-Jun","FE","Gargett",9.84
"714",1952,"Apr-Jun","FE","Gargett",13.84
"715",1953,"Apr-Jun","FE","Gargett",23.37
"716",1954,"Apr-Jun","FE","Gargett",25.52
"717",1955,"Apr-Jun","FE","Gargett",25.08
"718",1956,"Apr-Jun","FE","Gargett",10.13
"719",1957,"Apr-Jun","FE","Gargett",19.78
"720",1958,"Apr-Jun","FE","Gargett",15.38
"721",1959,"Apr-Jun","FE","Gargett",12.99
"722",1960,"Apr-Jun","FE","Gargett",11.16
"723",1961,"Apr-Jun","FE","Gargett",14.48
"724",1962,"Apr-Jun","FE","Gargett",20.8
"725",1963,"Apr-Jun","FE","Gargett",11.82
"726",1964,"Apr-Jun","FE","Gargett",9.83
"727",1965,"Apr-Jun","FE","Gargett",8.79
"728",1966,"Apr-Jun","FE","Gargett",12.02
"729",1967,"Apr-Jun","FE","Gargett",14.25
"730",1968,"Apr-Jun","FE","Gargett",10.66
"731",1969,"Apr-Jun","FE","Gargett",13.53
"732",1970,"Apr-Jun","FE","Gargett",13.98
"733",1971,"Apr-Jun","FE","Gargett",11.59
"734",1972,"Apr-Jun","FE","Gargett",11.01
"735",1973,"Apr-Jun","FE","Gargett",23.31
"736",1974,"Apr-Jun","FE","Gargett",15.24
"737",1975,"Apr-Jun","FE","Gargett",19.29
"738",1976,"Apr-Jun","FE","Gargett",25.63
"739",1977,"Apr-Jun","FE","Gargett",10.17
"740",1978,"Apr-Jun","FE","Gargett",21.76
"741",1979,"Apr-Jun","FE","Gargett",15.39
"742",1980,"Apr-Jun","FE","Gargett",18.05
"743",1981,"Apr-Jun","FE","Gargett",9.99
"744",1982,"Apr-Jun","FE","Gargett",8.6
"745",1983,"Apr-Jun","FE","Gargett",8.95
"746",1984,"Apr-Jun","FE","Gargett",18.72
"747",1985,"Apr-Jun","FE","Gargett",11.41
"748",1986,"Apr-Jun","FE","Gargett",8.33
"749",1987,"Apr-Jun","FE","Gargett",12.65
"750",1988,"Apr-Jun","FE","Gargett",29.38
"751",1989,"Apr-Jun","FE","Gargett",20.72
"752",1990,"Apr-Jun","FE","Gargett",11.77
"753",1991,"Apr-Jun","FE","Gargett",9.13
"754",1992,"Apr-Jun","FE","Gargett",8.3
"755",1993,"Apr-Jun","FE","Gargett",11.55
"756",1994,"Apr-Jun","FE","Gargett",9.14
"757",1995,"Apr-Jun","FE","Gargett",8.48
"758",1996,"Apr-Jun","FE","Gargett",13.51
"759",1997,"Apr-Jun","FE","Gargett",10.78
"760",1998,"Apr-Jun","FE","Gargett",23.16
"761",1999,"Apr-Jun","FE","Gargett",27.87
"762",2000,"Apr-Jun","FE","Gargett",14.69
"763",2001,"Apr-Jun","FE","Gargett",8.12
"764",2002,"Apr-Jun","FE","Gargett",8.06
"765",2003,"Apr-Jun","FE","Gargett",8.7
"766",2004,"Apr-Jun","FE","Gargett",9.27
"767",2005,"Apr-Jun","FE","Gargett",12.17
"768",2006,"Apr-Jun","FE","Gargett",17.65
"769",2007,"Apr-Jun","FE","Gargett",12.57
"770",2008,"Apr-Jun","FE","Gargett",14.88
"771",2009,"Apr-Jun","FE","Gargett",21.22
"772",2010,"Apr-Jun","FE","Gargett",20.49
"773",2011,"Apr-Jun","FE","Gargett",16.81
"774",2012,"Apr-Jun","FE","Gargett",24.24
"775",2013,"Apr-Jun","FE","Gargett",17.22
"776",2014,"Apr-Jun","FE","Gargett",8.43
"777",2015,"Apr-Jun","FE","Gargett",9.86
"778",2016,"Apr-Jun","FE","Gargett",16.22
"779",2017,"Apr-Jun","FE","Gargett",14.51
"780",2018,"Apr-Jun","FE","Gargett",17.17
"781",1889,"Jul-Sep","FE","Gargett",7.98
"782",1890,"Jul-Sep","FE","Gargett",8.26
"783",1891,"Jul-Sep","FE","Gargett",10.66
"784",1892,"Jul-Sep","FE","Gargett",6.56
"785",1893,"Jul-Sep","FE","Gargett",6.31
"786",1894,"Jul-Sep","FE","Gargett",13.11
"787",1895,"Jul-Sep","FE","Gargett",5.74
"788",1896,"Jul-Sep","FE","Gargett",6.55
"789",1897,"Jul-Sep","FE","Gargett",7.78
"790",1898,"Jul-Sep","FE","Gargett",6.54
"791",1899,"Jul-Sep","FE","Gargett",5.84
"792",1900,"Jul-Sep","FE","Gargett",6.91
"793",1901,"Jul-Sep","FE","Gargett",4.24
"794",1902,"Jul-Sep","FE","Gargett",0
"795",1903,"Jul-Sep","FE","Gargett",5.87
"796",1904,"Jul-Sep","FE","Gargett",6.66
"797",1905,"Jul-Sep","FE","Gargett",5.91
"798",1906,"Jul-Sep","FE","Gargett",7.48
"799",1907,"Jul-Sep","FE","Gargett",7.63
"800",1908,"Jul-Sep","FE","Gargett",5.63
"801",1909,"Jul-Sep","FE","Gargett",5.92
"802",1910,"Jul-Sep","FE","Gargett",7.22
"803",1911,"Jul-Sep","FE","Gargett",5.95
"804",1912,"Jul-Sep","FE","Gargett",12.39
"805",1913,"Jul-Sep","FE","Gargett",10.16
"806",1914,"Jul-Sep","FE","Gargett",10.19
"807",1915,"Jul-Sep","FE","Gargett",11.14
"808",1916,"Jul-Sep","FE","Gargett",5.47
"809",1917,"Jul-Sep","FE","Gargett",7.36
"810",1918,"Jul-Sep","FE","Gargett",5.97
"811",1919,"Jul-Sep","FE","Gargett",9.38
"812",1920,"Jul-Sep","FE","Gargett",9.81
"813",1921,"Jul-Sep","FE","Gargett",11.55
"814",1922,"Jul-Sep","FE","Gargett",8.39
"815",1923,"Jul-Sep","FE","Gargett",7.03
"816",1924,"Jul-Sep","FE","Gargett",9.72
"817",1925,"Jul-Sep","FE","Gargett",7.2
"818",1926,"Jul-Sep","FE","Gargett",8.25
"819",1927,"Jul-Sep","FE","Gargett",8.31
"820",1928,"Jul-Sep","FE","Gargett",6.74
"821",1929,"Jul-Sep","FE","Gargett",6.73
"822",1930,"Jul-Sep","FE","Gargett",12.23
"823",1931,"Jul-Sep","FE","Gargett",8.38
"824",1932,"Jul-Sep","FE","Gargett",6.98
"825",1933,"Jul-Sep","FE","Gargett",8.77
"826",1934,"Jul-Sep","FE","Gargett",9.65
"827",1935,"Jul-Sep","FE","Gargett",5.65
"828",1936,"Jul-Sep","FE","Gargett",11.61
"829",1937,"Jul-Sep","FE","Gargett",6.89
"830",1938,"Jul-Sep","FE","Gargett",8.14
"831",1939,"Jul-Sep","FE","Gargett",8.71
"832",1940,"Jul-Sep","FE","Gargett",7.53
"833",1941,"Jul-Sep","FE","Gargett",10.65
"834",1942,"Jul-Sep","FE","Gargett",17.55
"835",1943,"Jul-Sep","FE","Gargett",8.19
"836",1944,"Jul-Sep","FE","Gargett",8.85
"837",1945,"Jul-Sep","FE","Gargett",10.12
"838",1946,"Jul-Sep","FE","Gargett",7.42
"839",1947,"Jul-Sep","FE","Gargett",8.33
"840",1948,"Jul-Sep","FE","Gargett",7.28
"841",1949,"Jul-Sep","FE","Gargett",7.28
"842",1950,"Jul-Sep","FE","Gargett",25.8
"843",1951,"Jul-Sep","FE","Gargett",5.8
"844",1952,"Jul-Sep","FE","Gargett",7.51
"845",1953,"Jul-Sep","FE","Gargett",3.93
"846",1954,"Jul-Sep","FE","Gargett",7.79
"847",1955,"Jul-Sep","FE","Gargett",10.64
"848",1956,"Jul-Sep","FE","Gargett",9.68
"849",1957,"Jul-Sep","FE","Gargett",6.37
"850",1958,"Jul-Sep","FE","Gargett",9.37
"851",1959,"Jul-Sep","FE","Gargett",6.64
"852",1960,"Jul-Sep","FE","Gargett",6.81
"853",1961,"Jul-Sep","FE","Gargett",7.43
"854",1962,"Jul-Sep","FE","Gargett",6.16
"855",1963,"Jul-Sep","FE","Gargett",8.06
"856",1964,"Jul-Sep","FE","Gargett",8.18
"857",1965,"Jul-Sep","FE","Gargett",5.5
"858",1966,"Jul-Sep","FE","Gargett",3.38
"859",1967,"Jul-Sep","FE","Gargett",11.06
"860",1968,"Jul-Sep","FE","Gargett",6.18
"861",1969,"Jul-Sep","FE","Gargett",8.04
"862",1970,"Jul-Sep","FE","Gargett",6.38
"863",1971,"Jul-Sep","FE","Gargett",5.78
"864",1972,"Jul-Sep","FE","Gargett",8.45
"865",1973,"Jul-Sep","FE","Gargett",8.51
"866",1974,"Jul-Sep","FE","Gargett",8.26
"867",1975,"Jul-Sep","FE","Gargett",8.21
"868",1976,"Jul-Sep","FE","Gargett",8.48
"869",1977,"Jul-Sep","FE","Gargett",8.97
"870",1978,"Jul-Sep","FE","Gargett",4.12
"871",1979,"Jul-Sep","FE","Gargett",7.51
"872",1980,"Jul-Sep","FE","Gargett",8.15
"873",1981,"Jul-Sep","FE","Gargett",6.23
"874",1982,"Jul-Sep","FE","Gargett",4.78
"875",1983,"Jul-Sep","FE","Gargett",8.17
"876",1984,"Jul-Sep","FE","Gargett",5.18
"877",1985,"Jul-Sep","FE","Gargett",8.95
"878",1986,"Jul-Sep","FE","Gargett",7.27
"879",1987,"Jul-Sep","FE","Gargett",8.56
"880",1988,"Jul-Sep","FE","Gargett",9.63
"881",1989,"Jul-Sep","FE","Gargett",11.48
"882",1990,"Jul-Sep","FE","Gargett",9.61
"883",1991,"Jul-Sep","FE","Gargett",5.84
"884",1992,"Jul-Sep","FE","Gargett",10.88
"885",1993,"Jul-Sep","FE","Gargett",4.6
"886",1994,"Jul-Sep","FE","Gargett",2.49
"887",1995,"Jul-Sep","FE","Gargett",3.2
"888",1996,"Jul-Sep","FE","Gargett",2.51
"889",1997,"Jul-Sep","FE","Gargett",8.14
"890",1998,"Jul-Sep","FE","Gargett",12.08
"891",1999,"Jul-Sep","FE","Gargett",8.75
"892",2000,"Jul-Sep","FE","Gargett",9.94
"893",2001,"Jul-Sep","FE","Gargett",6.99
"894",2002,"Jul-Sep","FE","Gargett",5.26
"895",2003,"Jul-Sep","FE","Gargett",5.63
"896",2004,"Jul-Sep","FE","Gargett",5.22
"897",2005,"Jul-Sep","FE","Gargett",6.32
"898",2006,"Jul-Sep","FE","Gargett",8.26
"899",2007,"Jul-Sep","FE","Gargett",10.27
"900",2008,"Jul-Sep","FE","Gargett",6.75
"901",2009,"Jul-Sep","FE","Gargett",5.43
"902",2010,"Jul-Sep","FE","Gargett",7.51
"903",2011,"Jul-Sep","FE","Gargett",9.51
"904",2012,"Jul-Sep","FE","Gargett",13.71
"905",2013,"Jul-Sep","FE","Gargett",9.25
"906",2014,"Jul-Sep","FE","Gargett",7.9
"907",2015,"Jul-Sep","FE","Gargett",8.81
"908",2016,"Jul-Sep","FE","Gargett",8.95
"909",2017,"Jul-Sep","FE","Gargett",7.94
"910",2018,"Jul-Sep","FE","Gargett",5.83
"911",1889,"Oct-Dec","FE","Gargett",9.64
"912",1890,"Oct-Dec","FE","Gargett",11.57
"913",1891,"Oct-Dec","FE","Gargett",8.56
"914",1892,"Oct-Dec","FE","Gargett",10.35
"915",1893,"Oct-Dec","FE","Gargett",9.52
"916",1894,"Oct-Dec","FE","Gargett",8.15
"917",1895,"Oct-Dec","FE","Gargett",11.45
"918",1896,"Oct-Dec","FE","Gargett",11.4
"919",1897,"Oct-Dec","FE","Gargett",10.95
"920",1898,"Oct-Dec","FE","Gargett",11.43
"921",1899,"Oct-Dec","FE","Gargett",11.1
"922",1900,"Oct-Dec","FE","Gargett",11.67
"923",1901,"Oct-Dec","FE","Gargett",10.37
"924",1902,"Oct-Dec","FE","Gargett",0.67
"925",1903,"Oct-Dec","FE","Gargett",7.3
"926",1904,"Oct-Dec","FE","Gargett",6.16
"927",1905,"Oct-Dec","FE","Gargett",6.1
"928",1906,"Oct-Dec","FE","Gargett",8.85
"929",1907,"Oct-Dec","FE","Gargett",9.36
"930",1908,"Oct-Dec","FE","Gargett",11.11
"931",1909,"Oct-Dec","FE","Gargett",9.92
"932",1910,"Oct-Dec","FE","Gargett",9.46
"933",1911,"Oct-Dec","FE","Gargett",11.24
"934",1912,"Oct-Dec","FE","Gargett",8.4
"935",1913,"Oct-Dec","FE","Gargett",9.43
"936",1914,"Oct-Dec","FE","Gargett",9.45
"937",1915,"Oct-Dec","FE","Gargett",7.31
"938",1916,"Oct-Dec","FE","Gargett",8.36
"939",1917,"Oct-Dec","FE","Gargett",8.08
"940",1918,"Oct-Dec","FE","Gargett",10.02
"941",1919,"Oct-Dec","FE","Gargett",11.16
"942",1920,"Oct-Dec","FE","Gargett",9.93
"943",1921,"Oct-Dec","FE","Gargett",14.15
"944",1922,"Oct-Dec","FE","Gargett",10.18
"945",1923,"Oct-Dec","FE","Gargett",11.11
"946",1924,"Oct-Dec","FE","Gargett",11.38
"947",1925,"Oct-Dec","FE","Gargett",10.63
"948",1926,"Oct-Dec","FE","Gargett",10.33
"949",1927,"Oct-Dec","FE","Gargett",8.07
"950",1928,"Oct-Dec","FE","Gargett",10.82
"951",1929,"Oct-Dec","FE","Gargett",11.21
"952",1930,"Oct-Dec","FE","Gargett",9.44
"953",1931,"Oct-Dec","FE","Gargett",9.11
"954",1932,"Oct-Dec","FE","Gargett",9.34
"955",1933,"Oct-Dec","FE","Gargett",14.5
"956",1934,"Oct-Dec","FE","Gargett",7.61
"957",1935,"Oct-Dec","FE","Gargett",10.95
"958",1936,"Oct-Dec","FE","Gargett",9.39
"959",1937,"Oct-Dec","FE","Gargett",9.86
"960",1938,"Oct-Dec","FE","Gargett",7.8
"961",1939,"Oct-Dec","FE","Gargett",10.05
"962",1940,"Oct-Dec","FE","Gargett",10.26
"963",1941,"Oct-Dec","FE","Gargett",8.3
"964",1942,"Oct-Dec","FE","Gargett",9.44
"965",1943,"Oct-Dec","FE","Gargett",10.17
"966",1944,"Oct-Dec","FE","Gargett",10.02
"967",1945,"Oct-Dec","FE","Gargett",8.35
"968",1946,"Oct-Dec","FE","Gargett",11.36
"969",1947,"Oct-Dec","FE","Gargett",9.92
"970",1948,"Oct-Dec","FE","Gargett",11.45
"971",1949,"Oct-Dec","FE","Gargett",10.82
"972",1950,"Oct-Dec","FE","Gargett",21.91
"973",1951,"Oct-Dec","FE","Gargett",10.96
"974",1952,"Oct-Dec","FE","Gargett",10.76
"975",1953,"Oct-Dec","FE","Gargett",10.99
"976",1954,"Oct-Dec","FE","Gargett",8.51
"977",1955,"Oct-Dec","FE","Gargett",9.43
"978",1956,"Oct-Dec","FE","Gargett",7.89
"979",1957,"Oct-Dec","FE","Gargett",10.47
"980",1958,"Oct-Dec","FE","Gargett",9.64
"981",1959,"Oct-Dec","FE","Gargett",9.81
"982",1960,"Oct-Dec","FE","Gargett",10.44
"983",1961,"Oct-Dec","FE","Gargett",10.34
"984",1962,"Oct-Dec","FE","Gargett",9.84
"985",1963,"Oct-Dec","FE","Gargett",10.23
"986",1964,"Oct-Dec","FE","Gargett",9.43
"987",1965,"Oct-Dec","FE","Gargett",6.17
"988",1966,"Oct-Dec","FE","Gargett",6.64
"989",1967,"Oct-Dec","FE","Gargett",7.9
"990",1968,"Oct-Dec","FE","Gargett",11.39
"991",1969,"Oct-Dec","FE","Gargett",9.54
"992",1970,"Oct-Dec","FE","Gargett",9
"993",1971,"Oct-Dec","FE","Gargett",10.26
"994",1972,"Oct-Dec","FE","Gargett",11.13
"995",1973,"Oct-Dec","FE","Gargett",6.4
"996",1974,"Oct-Dec","FE","Gargett",8.24
"997",1975,"Oct-Dec","FE","Gargett",8.29
"998",1976,"Oct-Dec","FE","Gargett",7.64
"999",1977,"Oct-Dec","FE","Gargett",8.56
"1000",1978,"Oct-Dec","FE","Gargett",8.47
"1001",1979,"Oct-Dec","FE","Gargett",10.26
"1002",1980,"Oct-Dec","FE","Gargett",9.27
"1003",1981,"Oct-Dec","FE","Gargett",7.1
"1004",1982,"Oct-Dec","FE","Gargett",11.44
"1005",1983,"Oct-Dec","FE","Gargett",8.52
"1006",1984,"Oct-Dec","FE","Gargett",8.65
"1007",1985,"Oct-Dec","FE","Gargett",8.27
"1008",1986,"Oct-Dec","FE","Gargett",10.42
"1009",1987,"Oct-Dec","FE","Gargett",8.19
"1010",1988,"Oct-Dec","FE","Gargett",8.77
"1011",1989,"Oct-Dec","FE","Gargett",9.35
"1012",1990,"Oct-Dec","FE","Gargett",9.61
"1013",1991,"Oct-Dec","FE","Gargett",9.6
"1014",1992,"Oct-Dec","FE","Gargett",9.38
"1015",1993,"Oct-Dec","FE","Gargett",6.48
"1016",1994,"Oct-Dec","FE","Gargett",7.59
"1017",1995,"Oct-Dec","FE","Gargett",6.52
"1018",1996,"Oct-Dec","FE","Gargett",4.85
"1019",1997,"Oct-Dec","FE","Gargett",9.98
"1020",1998,"Oct-Dec","FE","Gargett",28.71
"1021",1999,"Oct-Dec","FE","Gargett",8.62
"1022",2000,"Oct-Dec","FE","Gargett",6.21
"1023",2001,"Oct-Dec","FE","Gargett",9.06
"1024",2002,"Oct-Dec","FE","Gargett",11.39
"1025",2003,"Oct-Dec","FE","Gargett",10.43
"1026",2004,"Oct-Dec","FE","Gargett",1.04
"1027",2005,"Oct-Dec","FE","Gargett",6.16
"1028",2006,"Oct-Dec","FE","Gargett",7.98
"1029",2007,"Oct-Dec","FE","Gargett",7.94
"1030",2008,"Oct-Dec","FE","Gargett",10.4
"1031",2009,"Oct-Dec","FE","Gargett",9.11
"1032",2010,"Oct-Dec","FE","Gargett",13.69
"1033",2011,"Oct-Dec","FE","Gargett",8.48
