Year,Season,Site,Scenario,Habitat
2012,Jan-Mar,Tinaroo Falls,FE,1.05
2013,Jan-Mar,Tinaroo Falls,FE,0.83
2014,Jan-Mar,Tinaroo Falls,FE,0.44
2015,Jan-Mar,Tinaroo Falls,FE,0.06
2016,Jan-Mar,Tinaroo Falls,FE,0
2017,Jan-Mar,Tinaroo Falls,FE,0.79
2018,Jan-Mar,Tinaroo Falls,FE,0.47
1889,Jan-Mar,Mareeba,PD,22.24
1890,Jan-Mar,Mareeba,PD,9.11
1891,Jan-Mar,Mareeba,PD,12.85
1892,Jan-Mar,Mareeba,PD,8.63
1893,Jan-Mar,Mareeba,PD,12.34
1894,Jan-Mar,Mareeba,PD,10.76
1895,Jan-Mar,Mareeba,PD,11.23
1896,Jan-Mar,Mareeba,PD,13.63
1897,Jan-Mar,Mareeba,PD,14.36
1898,Jan-Mar,Mareeba,PD,9.65
1899,Jan-Mar,Mareeba,PD,13.41
1900,Jan-Mar,Mareeba,PD,11.36
1901,Jan-Mar,Mareeba,PD,8.69
1902,Jan-Mar,Mareeba,PD,4.63
1903,Jan-Mar,Mareeba,PD,13.43
1904,Jan-Mar,Mareeba,PD,13.51
1905,Jan-Mar,Mareeba,PD,10.8
1906,Jan-Mar,Mareeba,PD,17.74
1907,Jan-Mar,Mareeba,PD,16.29
1908,Jan-Mar,Mareeba,PD,12.26
1909,Jan-Mar,Mareeba,PD,8.12
1910,Jan-Mar,Mareeba,PD,11.68
1911,Jan-Mar,Mareeba,PD,11.4
1912,Jan-Mar,Mareeba,PD,8.1
1913,Jan-Mar,Mareeba,PD,12.15
1914,Jan-Mar,Mareeba,PD,12.99
1915,Jan-Mar,Mareeba,PD,3.41
1916,Jan-Mar,Mareeba,PD,11.86
1917,Jan-Mar,Mareeba,PD,14.1
1918,Jan-Mar,Mareeba,PD,9.13
1919,Jan-Mar,Mareeba,PD,9.18
1920,Jan-Mar,Mareeba,PD,8.43
1921,Jan-Mar,Mareeba,PD,12.19
1922,Jan-Mar,Mareeba,PD,11.99
1923,Jan-Mar,Mareeba,PD,9.33
1924,Jan-Mar,Mareeba,PD,10.37
1925,Jan-Mar,Mareeba,PD,9
1926,Jan-Mar,Mareeba,PD,11.06
1927,Jan-Mar,Mareeba,PD,10.62
1928,Jan-Mar,Mareeba,PD,9.12
1929,Jan-Mar,Mareeba,PD,12.19
1930,Jan-Mar,Mareeba,PD,10.63
1931,Jan-Mar,Mareeba,PD,9.83
1932,Jan-Mar,Mareeba,PD,9.3
1933,Jan-Mar,Mareeba,PD,5.64
1934,Jan-Mar,Mareeba,PD,9.79
1935,Jan-Mar,Mareeba,PD,7.22
1936,Jan-Mar,Mareeba,PD,9.07
1937,Jan-Mar,Mareeba,PD,8.36
1938,Jan-Mar,Mareeba,PD,6.34
1939,Jan-Mar,Mareeba,PD,6.93
1940,Jan-Mar,Mareeba,PD,8.29
1941,Jan-Mar,Mareeba,PD,10.73
1942,Jan-Mar,Mareeba,PD,9.83
1943,Jan-Mar,Mareeba,PD,8.49
1944,Jan-Mar,Mareeba,PD,3.52
1945,Jan-Mar,Mareeba,PD,7.91
1946,Jan-Mar,Mareeba,PD,7.93
1947,Jan-Mar,Mareeba,PD,9.6
1948,Jan-Mar,Mareeba,PD,11.03
1949,Jan-Mar,Mareeba,PD,7.14
1950,Jan-Mar,Mareeba,PD,19.62
1951,Jan-Mar,Mareeba,PD,8.75
1952,Jan-Mar,Mareeba,PD,10.25
1953,Jan-Mar,Mareeba,PD,10.29
1954,Jan-Mar,Mareeba,PD,5.94
1955,Jan-Mar,Mareeba,PD,9.33
1956,Jan-Mar,Mareeba,PD,14.21
1957,Jan-Mar,Mareeba,PD,9.76
1958,Jan-Mar,Mareeba,PD,5.14
1959,Jan-Mar,Mareeba,PD,8.54
1960,Jan-Mar,Mareeba,PD,9.12
1961,Jan-Mar,Mareeba,PD,11.75
1962,Jan-Mar,Mareeba,PD,12.75
1963,Jan-Mar,Mareeba,PD,5.74
1964,Jan-Mar,Mareeba,PD,8.22
1965,Jan-Mar,Mareeba,PD,10.59
1966,Jan-Mar,Mareeba,PD,5.17
1967,Jan-Mar,Mareeba,PD,10.24
1968,Jan-Mar,Mareeba,PD,8.34
1969,Jan-Mar,Mareeba,PD,7.2
1970,Jan-Mar,Mareeba,PD,8.78
1971,Jan-Mar,Mareeba,PD,4.4
1972,Jan-Mar,Mareeba,PD,7.79
1973,Jan-Mar,Mareeba,PD,7.24
1974,Jan-Mar,Mareeba,PD,10.72
1975,Jan-Mar,Mareeba,PD,15.35
1976,Jan-Mar,Mareeba,PD,6.68
1977,Jan-Mar,Mareeba,PD,11.98
1978,Jan-Mar,Mareeba,PD,12.49
1979,Jan-Mar,Mareeba,PD,9.36
1980,Jan-Mar,Mareeba,PD,11.79
1981,Jan-Mar,Mareeba,PD,11.11
1982,Jan-Mar,Mareeba,PD,6.71
1983,Jan-Mar,Mareeba,PD,11.19
1984,Jan-Mar,Mareeba,PD,7.36
1985,Jan-Mar,Mareeba,PD,8.73
1986,Jan-Mar,Mareeba,PD,7.21
1987,Jan-Mar,Mareeba,PD,9.98
1988,Jan-Mar,Mareeba,PD,7.03
1989,Jan-Mar,Mareeba,PD,10.28
1990,Jan-Mar,Mareeba,PD,10.28
1991,Jan-Mar,Mareeba,PD,10.43
1992,Jan-Mar,Mareeba,PD,10.78
1993,Jan-Mar,Mareeba,PD,7.03
1994,Jan-Mar,Mareeba,PD,2.25
1995,Jan-Mar,Mareeba,PD,6.94
1996,Jan-Mar,Mareeba,PD,7.91
1997,Jan-Mar,Mareeba,PD,11.81
1998,Jan-Mar,Mareeba,PD,5.94
1999,Jan-Mar,Mareeba,PD,8.22
2000,Jan-Mar,Mareeba,PD,10.53
2001,Jan-Mar,Mareeba,PD,11.6
2002,Jan-Mar,Mareeba,PD,6.14
2003,Jan-Mar,Mareeba,PD,6.85
2004,Jan-Mar,Mareeba,PD,9.08
2005,Jan-Mar,Mareeba,PD,7.46
2006,Jan-Mar,Mareeba,PD,12.92
2007,Jan-Mar,Mareeba,PD,3.29
2008,Jan-Mar,Mareeba,PD,13.04
2009,Jan-Mar,Mareeba,PD,14.04
2010,Jan-Mar,Mareeba,PD,3.96
2011,Jan-Mar,Mareeba,PD,10.14
2012,Jan-Mar,Mareeba,PD,7.39
2013,Jan-Mar,Mareeba,PD,9.91
2014,Jan-Mar,Mareeba,PD,8.23
2015,Jan-Mar,Mareeba,PD,13.76
2016,Jan-Mar,Mareeba,PD,10.39
2017,Jan-Mar,Mareeba,PD,5.53
2018,Jan-Mar,Mareeba,PD,14.98
1889,Jan-Mar,Mareeba,FE,9.17
1890,Jan-Mar,Mareeba,FE,4.81
1891,Jan-Mar,Mareeba,FE,8.28
1892,Jan-Mar,Mareeba,FE,2.72
1893,Jan-Mar,Mareeba,FE,3.88
1894,Jan-Mar,Mareeba,FE,6.06
1895,Jan-Mar,Mareeba,FE,2.93
1896,Jan-Mar,Mareeba,FE,3.61
1897,Jan-Mar,Mareeba,FE,2.98
1898,Jan-Mar,Mareeba,FE,1.89
1899,Jan-Mar,Mareeba,FE,9.5
1900,Jan-Mar,Mareeba,FE,5.46
1901,Jan-Mar,Mareeba,FE,3.22
1902,Jan-Mar,Mareeba,FE,0.82
1903,Jan-Mar,Mareeba,FE,8.9
1904,Jan-Mar,Mareeba,FE,8.37
1905,Jan-Mar,Mareeba,FE,4.11
1906,Jan-Mar,Mareeba,FE,8.06
1907,Jan-Mar,Mareeba,FE,6.64
1908,Jan-Mar,Mareeba,FE,8.33
1909,Jan-Mar,Mareeba,FE,3.97
1910,Jan-Mar,Mareeba,FE,8.42
1911,Jan-Mar,Mareeba,FE,3.49
1912,Jan-Mar,Mareeba,FE,3.28
1913,Jan-Mar,Mareeba,FE,2.8
1914,Jan-Mar,Mareeba,FE,2.46
1915,Jan-Mar,Mareeba,FE,0
1916,Jan-Mar,Mareeba,FE,2.71
1917,Jan-Mar,Mareeba,FE,3.47
1918,Jan-Mar,Mareeba,FE,1.7
1919,Jan-Mar,Mareeba,FE,0.07
1920,Jan-Mar,Mareeba,FE,0.97
1921,Jan-Mar,Mareeba,FE,6.41
1922,Jan-Mar,Mareeba,FE,2.43
1923,Jan-Mar,Mareeba,FE,1.37
1924,Jan-Mar,Mareeba,FE,0.62
1925,Jan-Mar,Mareeba,FE,2.54
1926,Jan-Mar,Mareeba,FE,0.54
1927,Jan-Mar,Mareeba,FE,2.45
1928,Jan-Mar,Mareeba,FE,0.37
1929,Jan-Mar,Mareeba,FE,5.63
1930,Jan-Mar,Mareeba,FE,7.07
1931,Jan-Mar,Mareeba,FE,3.2
1932,Jan-Mar,Mareeba,FE,1.72
1933,Jan-Mar,Mareeba,FE,2.2
1934,Jan-Mar,Mareeba,FE,4.69
1935,Jan-Mar,Mareeba,FE,4.54
1936,Jan-Mar,Mareeba,FE,3.11
1937,Jan-Mar,Mareeba,FE,4.8
1938,Jan-Mar,Mareeba,FE,0.9
1939,Jan-Mar,Mareeba,FE,2.08
1940,Jan-Mar,Mareeba,FE,2.32
1941,Jan-Mar,Mareeba,FE,5.81
1942,Jan-Mar,Mareeba,FE,2.72
1943,Jan-Mar,Mareeba,FE,3.06
1944,Jan-Mar,Mareeba,FE,0.7
1945,Jan-Mar,Mareeba,FE,1.55
1946,Jan-Mar,Mareeba,FE,2.92
1947,Jan-Mar,Mareeba,FE,0
1948,Jan-Mar,Mareeba,FE,4.14
1949,Jan-Mar,Mareeba,FE,0.03
1950,Jan-Mar,Mareeba,FE,15.76
1951,Jan-Mar,Mareeba,FE,3.86
1952,Jan-Mar,Mareeba,FE,0.78
1953,Jan-Mar,Mareeba,FE,1.73
1954,Jan-Mar,Mareeba,FE,2.15
1955,Jan-Mar,Mareeba,FE,1.84
1956,Jan-Mar,Mareeba,FE,3.41
1957,Jan-Mar,Mareeba,FE,1.21
1958,Jan-Mar,Mareeba,FE,3.61
1959,Jan-Mar,Mareeba,FE,3.29
1960,Jan-Mar,Mareeba,FE,3.24
1961,Jan-Mar,Mareeba,FE,4.23
1962,Jan-Mar,Mareeba,FE,4.22
1963,Jan-Mar,Mareeba,FE,1.23
1964,Jan-Mar,Mareeba,FE,2.26
1965,Jan-Mar,Mareeba,FE,0.01
1966,Jan-Mar,Mareeba,FE,1.48
1967,Jan-Mar,Mareeba,FE,3.05
1968,Jan-Mar,Mareeba,FE,0.9
1969,Jan-Mar,Mareeba,FE,0.67
1970,Jan-Mar,Mareeba,FE,1.94
1971,Jan-Mar,Mareeba,FE,0.98
1972,Jan-Mar,Mareeba,FE,6.84
1973,Jan-Mar,Mareeba,FE,3.64
1974,Jan-Mar,Mareeba,FE,4.04
1975,Jan-Mar,Mareeba,FE,3.62
1976,Jan-Mar,Mareeba,FE,1.67
1977,Jan-Mar,Mareeba,FE,4.17
1978,Jan-Mar,Mareeba,FE,14.01
1979,Jan-Mar,Mareeba,FE,2.03
1980,Jan-Mar,Mareeba,FE,4.24
1981,Jan-Mar,Mareeba,FE,4.18
1982,Jan-Mar,Mareeba,FE,3.87
1983,Jan-Mar,Mareeba,FE,4.48
1984,Jan-Mar,Mareeba,FE,0.57
1985,Jan-Mar,Mareeba,FE,0.85
1986,Jan-Mar,Mareeba,FE,0.6
1987,Jan-Mar,Mareeba,FE,0.41
1988,Jan-Mar,Mareeba,FE,1.09
1989,Jan-Mar,Mareeba,FE,4.61
1990,Jan-Mar,Mareeba,FE,8.16
1991,Jan-Mar,Mareeba,FE,7.18
1992,Jan-Mar,Mareeba,FE,0.03
1993,Jan-Mar,Mareeba,FE,1.59
1994,Jan-Mar,Mareeba,FE,0.2
1995,Jan-Mar,Mareeba,FE,3.83
1996,Jan-Mar,Mareeba,FE,0.09
1997,Jan-Mar,Mareeba,FE,4.32
1998,Jan-Mar,Mareeba,FE,0.08
1999,Jan-Mar,Mareeba,FE,6.14
2000,Jan-Mar,Mareeba,FE,7.03
2001,Jan-Mar,Mareeba,FE,5.94
2002,Jan-Mar,Mareeba,FE,2.01
2003,Jan-Mar,Mareeba,FE,0.46
2004,Jan-Mar,Mareeba,FE,2.82
2005,Jan-Mar,Mareeba,FE,0.92
2006,Jan-Mar,Mareeba,FE,5.81
2007,Jan-Mar,Mareeba,FE,3.49
2008,Jan-Mar,Mareeba,FE,6.22
2009,Jan-Mar,Mareeba,FE,6.28
2010,Jan-Mar,Mareeba,FE,7.3
2011,Jan-Mar,Mareeba,FE,4.92
2012,Jan-Mar,Mareeba,FE,3.7
2013,Jan-Mar,Mareeba,FE,1.22
2014,Jan-Mar,Mareeba,FE,3.22
2015,Jan-Mar,Mareeba,FE,1.93
2016,Jan-Mar,Mareeba,FE,2.67
2017,Jan-Mar,Mareeba,FE,1.53
2018,Jan-Mar,Mareeba,FE,7.04
1889,Jan-Mar,Bilwon ROC,PD,9.9
1890,Jan-Mar,Bilwon ROC,PD,9
1891,Jan-Mar,Bilwon ROC,PD,9.24
1892,Jan-Mar,Bilwon ROC,PD,8.86
1893,Jan-Mar,Bilwon ROC,PD,8.26
1894,Jan-Mar,Bilwon ROC,PD,9.57
1895,Jan-Mar,Bilwon ROC,PD,7.15
1896,Jan-Mar,Bilwon ROC,PD,10.44
1897,Jan-Mar,Bilwon ROC,PD,5.58
1898,Jan-Mar,Bilwon ROC,PD,6.81
1899,Jan-Mar,Bilwon ROC,PD,12.33
1900,Jan-Mar,Bilwon ROC,PD,9.8
1901,Jan-Mar,Bilwon ROC,PD,8.22
1902,Jan-Mar,Bilwon ROC,PD,4.93
1903,Jan-Mar,Bilwon ROC,PD,10.74
1904,Jan-Mar,Bilwon ROC,PD,11.37
1905,Jan-Mar,Bilwon ROC,PD,6.3
1906,Jan-Mar,Bilwon ROC,PD,12.91
1907,Jan-Mar,Bilwon ROC,PD,10.9
1908,Jan-Mar,Bilwon ROC,PD,12.25
1909,Jan-Mar,Bilwon ROC,PD,6.74
1910,Jan-Mar,Bilwon ROC,PD,8.67
1911,Jan-Mar,Bilwon ROC,PD,9.24
1912,Jan-Mar,Bilwon ROC,PD,6.8
1913,Jan-Mar,Bilwon ROC,PD,8.18
1914,Jan-Mar,Bilwon ROC,PD,9.57
1915,Jan-Mar,Bilwon ROC,PD,5.99
1916,Jan-Mar,Bilwon ROC,PD,11.66
1917,Jan-Mar,Bilwon ROC,PD,6.5
1918,Jan-Mar,Bilwon ROC,PD,8.86
1919,Jan-Mar,Bilwon ROC,PD,8.9
1920,Jan-Mar,Bilwon ROC,PD,7
1921,Jan-Mar,Bilwon ROC,PD,8.59
1922,Jan-Mar,Bilwon ROC,PD,8.05
1923,Jan-Mar,Bilwon ROC,PD,9.38
1924,Jan-Mar,Bilwon ROC,PD,5.83
1925,Jan-Mar,Bilwon ROC,PD,8.54
1926,Jan-Mar,Bilwon ROC,PD,9.37
1927,Jan-Mar,Bilwon ROC,PD,7.44
1928,Jan-Mar,Bilwon ROC,PD,5.79
1929,Jan-Mar,Bilwon ROC,PD,8.62
1930,Jan-Mar,Bilwon ROC,PD,8.84
1931,Jan-Mar,Bilwon ROC,PD,8.84
1932,Jan-Mar,Bilwon ROC,PD,9.29
1933,Jan-Mar,Bilwon ROC,PD,3.26
1934,Jan-Mar,Bilwon ROC,PD,7.56
1935,Jan-Mar,Bilwon ROC,PD,5.97
1936,Jan-Mar,Bilwon ROC,PD,7.93
1937,Jan-Mar,Bilwon ROC,PD,7.14
1938,Jan-Mar,Bilwon ROC,PD,7.23
1939,Jan-Mar,Bilwon ROC,PD,6.46
1940,Jan-Mar,Bilwon ROC,PD,5.71
1941,Jan-Mar,Bilwon ROC,PD,9.73
1942,Jan-Mar,Bilwon ROC,PD,7.71
1943,Jan-Mar,Bilwon ROC,PD,6.6
1944,Jan-Mar,Bilwon ROC,PD,2.55
1945,Jan-Mar,Bilwon ROC,PD,6.47
1946,Jan-Mar,Bilwon ROC,PD,9.36
1947,Jan-Mar,Bilwon ROC,PD,8.31
1948,Jan-Mar,Bilwon ROC,PD,7.26
1949,Jan-Mar,Bilwon ROC,PD,8.05
1950,Jan-Mar,Bilwon ROC,PD,13.77
1951,Jan-Mar,Bilwon ROC,PD,8.47
1952,Jan-Mar,Bilwon ROC,PD,5.85
1953,Jan-Mar,Bilwon ROC,PD,10.69
1954,Jan-Mar,Bilwon ROC,PD,4.15
1955,Jan-Mar,Bilwon ROC,PD,6.38
1956,Jan-Mar,Bilwon ROC,PD,9
1957,Jan-Mar,Bilwon ROC,PD,5.69
1958,Jan-Mar,Bilwon ROC,PD,6.58
1959,Jan-Mar,Bilwon ROC,PD,7.68
1960,Jan-Mar,Bilwon ROC,PD,7.59
1961,Jan-Mar,Bilwon ROC,PD,7.42
1962,Jan-Mar,Bilwon ROC,PD,6.25
1963,Jan-Mar,Bilwon ROC,PD,5.62
1964,Jan-Mar,Bilwon ROC,PD,8.36
1965,Jan-Mar,Bilwon ROC,PD,9.05
1966,Jan-Mar,Bilwon ROC,PD,4.11
1967,Jan-Mar,Bilwon ROC,PD,7.18
1968,Jan-Mar,Bilwon ROC,PD,6.97
1969,Jan-Mar,Bilwon ROC,PD,6.5
1970,Jan-Mar,Bilwon ROC,PD,6.06
1971,Jan-Mar,Bilwon ROC,PD,3.85
1972,Jan-Mar,Bilwon ROC,PD,8.14
1973,Jan-Mar,Bilwon ROC,PD,1.88
1974,Jan-Mar,Bilwon ROC,PD,8.57
1975,Jan-Mar,Bilwon ROC,PD,9.94
1976,Jan-Mar,Bilwon ROC,PD,4.77
1977,Jan-Mar,Bilwon ROC,PD,9.14
1978,Jan-Mar,Bilwon ROC,PD,6.45
1979,Jan-Mar,Bilwon ROC,PD,7.18
1980,Jan-Mar,Bilwon ROC,PD,6.67
1981,Jan-Mar,Bilwon ROC,PD,12.34
1982,Jan-Mar,Bilwon ROC,PD,5.56
1983,Jan-Mar,Bilwon ROC,PD,11.39
1984,Jan-Mar,Bilwon ROC,PD,7.12
1985,Jan-Mar,Bilwon ROC,PD,8.01
1986,Jan-Mar,Bilwon ROC,PD,7.21
1987,Jan-Mar,Bilwon ROC,PD,7.8
1988,Jan-Mar,Bilwon ROC,PD,7.53
1989,Jan-Mar,Bilwon ROC,PD,7.02
1990,Jan-Mar,Bilwon ROC,PD,7.03
1991,Jan-Mar,Bilwon ROC,PD,9.21
1992,Jan-Mar,Bilwon ROC,PD,8.06
1993,Jan-Mar,Bilwon ROC,PD,6.46
1994,Jan-Mar,Bilwon ROC,PD,3.77
1995,Jan-Mar,Bilwon ROC,PD,7.34
1996,Jan-Mar,Bilwon ROC,PD,7.39
1997,Jan-Mar,Bilwon ROC,PD,8.86
1998,Jan-Mar,Bilwon ROC,PD,5.21
1999,Jan-Mar,Bilwon ROC,PD,4.95
2000,Jan-Mar,Bilwon ROC,PD,9.59
2001,Jan-Mar,Bilwon ROC,PD,8.1
2002,Jan-Mar,Bilwon ROC,PD,6.63
2003,Jan-Mar,Bilwon ROC,PD,4.82
2004,Jan-Mar,Bilwon ROC,PD,6.66
2005,Jan-Mar,Bilwon ROC,PD,6.95
2006,Jan-Mar,Bilwon ROC,PD,8.22
2007,Jan-Mar,Bilwon ROC,PD,3.62
2008,Jan-Mar,Bilwon ROC,PD,7.25
2009,Jan-Mar,Bilwon ROC,PD,10.02
2010,Jan-Mar,Bilwon ROC,PD,2.71
2011,Jan-Mar,Bilwon ROC,PD,9.88
2012,Jan-Mar,Bilwon ROC,PD,7.47
2013,Jan-Mar,Bilwon ROC,PD,9.82
2014,Jan-Mar,Bilwon ROC,PD,6.72
2015,Jan-Mar,Bilwon ROC,PD,9.62
2016,Jan-Mar,Bilwon ROC,PD,9.54
2017,Jan-Mar,Bilwon ROC,PD,5.06
2018,Jan-Mar,Bilwon ROC,PD,9.57
1889,Jan-Mar,Bilwon ROC,FE,8.1
1890,Jan-Mar,Bilwon ROC,FE,5.58
1891,Jan-Mar,Bilwon ROC,FE,8.44
1892,Jan-Mar,Bilwon ROC,FE,5.04
1893,Jan-Mar,Bilwon ROC,FE,6.39
1894,Jan-Mar,Bilwon ROC,FE,7.36
1895,Jan-Mar,Bilwon ROC,FE,4.71
1896,Jan-Mar,Bilwon ROC,FE,5.54
1897,Jan-Mar,Bilwon ROC,FE,3.56
1898,Jan-Mar,Bilwon ROC,FE,5.09
1899,Jan-Mar,Bilwon ROC,FE,7.98
1900,Jan-Mar,Bilwon ROC,FE,6.57
1901,Jan-Mar,Bilwon ROC,FE,5.81
1902,Jan-Mar,Bilwon ROC,FE,2.72
1903,Jan-Mar,Bilwon ROC,FE,6.79
1904,Jan-Mar,Bilwon ROC,FE,7.75
1905,Jan-Mar,Bilwon ROC,FE,5.04
1906,Jan-Mar,Bilwon ROC,FE,8.63
1907,Jan-Mar,Bilwon ROC,FE,8.16
1908,Jan-Mar,Bilwon ROC,FE,7.15
1909,Jan-Mar,Bilwon ROC,FE,5.15
1910,Jan-Mar,Bilwon ROC,FE,6.52
1911,Jan-Mar,Bilwon ROC,FE,5.65
1912,Jan-Mar,Bilwon ROC,FE,4.45
1913,Jan-Mar,Bilwon ROC,FE,5.45
1914,Jan-Mar,Bilwon ROC,FE,6.3
1915,Jan-Mar,Bilwon ROC,FE,1.77
1916,Jan-Mar,Bilwon ROC,FE,6.94
1917,Jan-Mar,Bilwon ROC,FE,4.54
1918,Jan-Mar,Bilwon ROC,FE,5.16
1919,Jan-Mar,Bilwon ROC,FE,5.97
1920,Jan-Mar,Bilwon ROC,FE,4.97
1921,Jan-Mar,Bilwon ROC,FE,8.64
1922,Jan-Mar,Bilwon ROC,FE,5.67
1923,Jan-Mar,Bilwon ROC,FE,4.98
1924,Jan-Mar,Bilwon ROC,FE,4.41
1925,Jan-Mar,Bilwon ROC,FE,4.48
1926,Jan-Mar,Bilwon ROC,FE,4.13
1927,Jan-Mar,Bilwon ROC,FE,4.16
1928,Jan-Mar,Bilwon ROC,FE,4.05
1929,Jan-Mar,Bilwon ROC,FE,5.84
1930,Jan-Mar,Bilwon ROC,FE,6.1
1931,Jan-Mar,Bilwon ROC,FE,5.46
1932,Jan-Mar,Bilwon ROC,FE,5.85
1933,Jan-Mar,Bilwon ROC,FE,3.44
1934,Jan-Mar,Bilwon ROC,FE,4.97
1935,Jan-Mar,Bilwon ROC,FE,4.19
1936,Jan-Mar,Bilwon ROC,FE,5.55
1937,Jan-Mar,Bilwon ROC,FE,4.85
1938,Jan-Mar,Bilwon ROC,FE,5.37
1939,Jan-Mar,Bilwon ROC,FE,4.78
1940,Jan-Mar,Bilwon ROC,FE,5.23
1941,Jan-Mar,Bilwon ROC,FE,7.18
1942,Jan-Mar,Bilwon ROC,FE,4.29
1943,Jan-Mar,Bilwon ROC,FE,3.71
1944,Jan-Mar,Bilwon ROC,FE,2.31
1945,Jan-Mar,Bilwon ROC,FE,4.2
1946,Jan-Mar,Bilwon ROC,FE,6.57
1947,Jan-Mar,Bilwon ROC,FE,3.63
1948,Jan-Mar,Bilwon ROC,FE,4.58
1949,Jan-Mar,Bilwon ROC,FE,2.99
1950,Jan-Mar,Bilwon ROC,FE,14.39
1951,Jan-Mar,Bilwon ROC,FE,6
1952,Jan-Mar,Bilwon ROC,FE,3.86
1953,Jan-Mar,Bilwon ROC,FE,6.44
1954,Jan-Mar,Bilwon ROC,FE,3.09
1955,Jan-Mar,Bilwon ROC,FE,4.78
1956,Jan-Mar,Bilwon ROC,FE,5.94
1957,Jan-Mar,Bilwon ROC,FE,3.68
1958,Jan-Mar,Bilwon ROC,FE,4.34
1959,Jan-Mar,Bilwon ROC,FE,5.76
1960,Jan-Mar,Bilwon ROC,FE,5.58
1961,Jan-Mar,Bilwon ROC,FE,4.29
1962,Jan-Mar,Bilwon ROC,FE,4.14
1963,Jan-Mar,Bilwon ROC,FE,3.14
1964,Jan-Mar,Bilwon ROC,FE,6.04
1965,Jan-Mar,Bilwon ROC,FE,6.27
1966,Jan-Mar,Bilwon ROC,FE,3.25
1967,Jan-Mar,Bilwon ROC,FE,4.76
1968,Jan-Mar,Bilwon ROC,FE,4.47
1969,Jan-Mar,Bilwon ROC,FE,3.3
1970,Jan-Mar,Bilwon ROC,FE,3.68
1971,Jan-Mar,Bilwon ROC,FE,2.16
1972,Jan-Mar,Bilwon ROC,FE,5.64
1973,Jan-Mar,Bilwon ROC,FE,1.53
1974,Jan-Mar,Bilwon ROC,FE,7.75
1975,Jan-Mar,Bilwon ROC,FE,7.24
1976,Jan-Mar,Bilwon ROC,FE,2.59
1977,Jan-Mar,Bilwon ROC,FE,6.5
1978,Jan-Mar,Bilwon ROC,FE,6.51
1979,Jan-Mar,Bilwon ROC,FE,4.54
1980,Jan-Mar,Bilwon ROC,FE,4.44
1981,Jan-Mar,Bilwon ROC,FE,6.94
1982,Jan-Mar,Bilwon ROC,FE,4.89
1983,Jan-Mar,Bilwon ROC,FE,6.5
1984,Jan-Mar,Bilwon ROC,FE,3.72
1985,Jan-Mar,Bilwon ROC,FE,3.5
1986,Jan-Mar,Bilwon ROC,FE,4.09
1987,Jan-Mar,Bilwon ROC,FE,3.46
1988,Jan-Mar,Bilwon ROC,FE,4.01
1989,Jan-Mar,Bilwon ROC,FE,4.81
1990,Jan-Mar,Bilwon ROC,FE,6.16
1991,Jan-Mar,Bilwon ROC,FE,6.58
1992,Jan-Mar,Bilwon ROC,FE,5.04
1993,Jan-Mar,Bilwon ROC,FE,3.3
1994,Jan-Mar,Bilwon ROC,FE,1.15
1995,Jan-Mar,Bilwon ROC,FE,4.04
1996,Jan-Mar,Bilwon ROC,FE,2.57
1997,Jan-Mar,Bilwon ROC,FE,5.03
1998,Jan-Mar,Bilwon ROC,FE,2.62
1999,Jan-Mar,Bilwon ROC,FE,4.03
2000,Jan-Mar,Bilwon ROC,FE,7.03
2001,Jan-Mar,Bilwon ROC,FE,6.14
2002,Jan-Mar,Bilwon ROC,FE,4.68
2003,Jan-Mar,Bilwon ROC,FE,3.57
2004,Jan-Mar,Bilwon ROC,FE,4.47
2005,Jan-Mar,Bilwon ROC,FE,3.68
2006,Jan-Mar,Bilwon ROC,FE,5.71
2007,Jan-Mar,Bilwon ROC,FE,1.93
2008,Jan-Mar,Bilwon ROC,FE,6.13
2009,Jan-Mar,Bilwon ROC,FE,7.58
2010,Jan-Mar,Bilwon ROC,FE,2.43
2011,Jan-Mar,Bilwon ROC,FE,6.37
2012,Jan-Mar,Bilwon ROC,FE,4.77
2013,Jan-Mar,Bilwon ROC,FE,6.83
2014,Jan-Mar,Bilwon ROC,FE,5
2015,Jan-Mar,Bilwon ROC,FE,5.42
2016,Jan-Mar,Bilwon ROC,FE,4.05
2017,Jan-Mar,Bilwon ROC,FE,3.07
2018,Jan-Mar,Bilwon ROC,FE,6.11
1889,Jan-Mar,Bilwon SND,PD,3.22
1890,Jan-Mar,Bilwon SND,PD,3.14
1891,Jan-Mar,Bilwon SND,PD,4.53
1892,Jan-Mar,Bilwon SND,PD,9.64
1893,Jan-Mar,Bilwon SND,PD,2.18
1894,Jan-Mar,Bilwon SND,PD,3.1
1895,Jan-Mar,Bilwon SND,PD,3.54
1896,Jan-Mar,Bilwon SND,PD,10.08
1897,Jan-Mar,Bilwon SND,PD,2.49
1898,Jan-Mar,Bilwon SND,PD,6.02
1899,Jan-Mar,Bilwon SND,PD,8.46
1900,Jan-Mar,Bilwon SND,PD,2.59
1901,Jan-Mar,Bilwon SND,PD,9.66
1902,Jan-Mar,Bilwon SND,PD,1.62
1903,Jan-Mar,Bilwon SND,PD,4.35
1904,Jan-Mar,Bilwon SND,PD,4.91
1905,Jan-Mar,Bilwon SND,PD,4.46
1906,Jan-Mar,Bilwon SND,PD,4.81
1907,Jan-Mar,Bilwon SND,PD,3.41
1908,Jan-Mar,Bilwon SND,PD,6.17
