Year,Season,Scenario,Site,Habitat
1976,Jan-Mar,FE,Gargett,12.35
1977,Jan-Mar,FE,Gargett,8.5
1978,Jan-Mar,FE,Gargett,6.06
1979,Jan-Mar,FE,Gargett,11.25
1980,Jan-Mar,FE,Gargett,23.95
1981,Jan-Mar,FE,Gargett,6.75
1982,Jan-Mar,FE,Gargett,4.91
1983,Jan-Mar,FE,Gargett,7.92
1984,Jan-Mar,FE,Gargett,8.09
1985,Jan-Mar,FE,Gargett,9.14
1986,Jan-Mar,FE,Gargett,7.87
1987,Jan-Mar,FE,Gargett,9.51
1988,Jan-Mar,FE,Gargett,10.78
1989,Jan-Mar,FE,Gargett,5.45
1990,Jan-Mar,FE,Gargett,13.3
1991,Jan-Mar,FE,Gargett,5.22
1992,Jan-Mar,FE,Gargett,5.64
1993,Jan-Mar,FE,Gargett,9.91
1994,Jan-Mar,FE,Gargett,5.02
1995,Jan-Mar,FE,Gargett,6.29
1996,Jan-Mar,FE,Gargett,7.37
1997,Jan-Mar,FE,Gargett,10.65
1998,Jan-Mar,FE,Gargett,33
1999,Jan-Mar,FE,Gargett,14.8
2000,Jan-Mar,FE,Gargett,15.77
2001,Jan-Mar,FE,Gargett,6.52
2002,Jan-Mar,FE,Gargett,7.36
2003,Jan-Mar,FE,Gargett,7.45
2004,Jan-Mar,FE,Gargett,5.4
2005,Jan-Mar,FE,Gargett,6.53
2006,Jan-Mar,FE,Gargett,16.97
2007,Jan-Mar,FE,Gargett,17.12
2008,Jan-Mar,FE,Gargett,19.89
2009,Jan-Mar,FE,Gargett,13.59
2010,Jan-Mar,FE,Gargett,19.93
2011,Jan-Mar,FE,Gargett,11.32
2012,Jan-Mar,FE,Gargett,7.87
2013,Jan-Mar,FE,Gargett,16.97
2014,Jan-Mar,FE,Gargett,7.94
2015,Jan-Mar,FE,Gargett,6.42
2016,Jan-Mar,FE,Gargett,14.02
2017,Jan-Mar,FE,Gargett,8.95
2018,Jan-Mar,FE,Gargett,13.57
1889,Apr-Jun,FE,Gargett,20.99
1890,Apr-Jun,FE,Gargett,22.48
1891,Apr-Jun,FE,Gargett,9.16
1892,Apr-Jun,FE,Gargett,10.55
1893,Apr-Jun,FE,Gargett,23.76
1894,Apr-Jun,FE,Gargett,11.55
1895,Apr-Jun,FE,Gargett,15.57
1896,Apr-Jun,FE,Gargett,10.21
1897,Apr-Jun,FE,Gargett,18.41
1898,Apr-Jun,FE,Gargett,17.98
1899,Apr-Jun,FE,Gargett,8.88
1900,Apr-Jun,FE,Gargett,12.31
1901,Apr-Jun,FE,Gargett,3.92
1902,Apr-Jun,FE,Gargett,16.57
1903,Apr-Jun,FE,Gargett,11.02
1904,Apr-Jun,FE,Gargett,10.64
1905,Apr-Jun,FE,Gargett,16.99
1906,Apr-Jun,FE,Gargett,9.77
1907,Apr-Jun,FE,Gargett,18.76
1908,Apr-Jun,FE,Gargett,11.09
1909,Apr-Jun,FE,Gargett,20.33
1910,Apr-Jun,FE,Gargett,16.76
1911,Apr-Jun,FE,Gargett,9.71
1912,Apr-Jun,FE,Gargett,22.68
1913,Apr-Jun,FE,Gargett,15.43
1914,Apr-Jun,FE,Gargett,10.76
1915,Apr-Jun,FE,Gargett,8.78
1916,Apr-Jun,FE,Gargett,12.47
1917,Apr-Jun,FE,Gargett,15.75
1918,Apr-Jun,FE,Gargett,17.09
1919,Apr-Jun,FE,Gargett,17.65
1920,Apr-Jun,FE,Gargett,15.92
1921,Apr-Jun,FE,Gargett,11.18
1922,Apr-Jun,FE,Gargett,8.79
1923,Apr-Jun,FE,Gargett,11.82
1924,Apr-Jun,FE,Gargett,17.46
1925,Apr-Jun,FE,Gargett,8.95
1926,Apr-Jun,FE,Gargett,15
1927,Apr-Jun,FE,Gargett,21.42
1928,Apr-Jun,FE,Gargett,18.85
1929,Apr-Jun,FE,Gargett,10.64
1930,Apr-Jun,FE,Gargett,11.17
1931,Apr-Jun,FE,Gargett,10.97
1932,Apr-Jun,FE,Gargett,9.94
1933,Apr-Jun,FE,Gargett,12.92
1934,Apr-Jun,FE,Gargett,9.14
1935,Apr-Jun,FE,Gargett,18.5
1936,Apr-Jun,FE,Gargett,11.26
1937,Apr-Jun,FE,Gargett,9.69
1938,Apr-Jun,FE,Gargett,20.3
1939,Apr-Jun,FE,Gargett,15.23
1940,Apr-Jun,FE,Gargett,24.52
1941,Apr-Jun,FE,Gargett,11.73
1942,Apr-Jun,FE,Gargett,11.73
1943,Apr-Jun,FE,Gargett,17.31
1944,Apr-Jun,FE,Gargett,14.67
1945,Apr-Jun,FE,Gargett,16.59
1946,Apr-Jun,FE,Gargett,13.08
1947,Apr-Jun,FE,Gargett,8.22
1948,Apr-Jun,FE,Gargett,20.85
1949,Apr-Jun,FE,Gargett,25.55
1950,Apr-Jun,FE,Gargett,11.22
1951,Apr-Jun,FE,Gargett,9.84
1952,Apr-Jun,FE,Gargett,13.84
1953,Apr-Jun,FE,Gargett,23.37
1954,Apr-Jun,FE,Gargett,25.52
1955,Apr-Jun,FE,Gargett,25.08
1956,Apr-Jun,FE,Gargett,10.13
1957,Apr-Jun,FE,Gargett,19.78
1958,Apr-Jun,FE,Gargett,15.38
1959,Apr-Jun,FE,Gargett,12.99
1960,Apr-Jun,FE,Gargett,11.16
1961,Apr-Jun,FE,Gargett,14.48
1962,Apr-Jun,FE,Gargett,20.8
1963,Apr-Jun,FE,Gargett,11.82
1964,Apr-Jun,FE,Gargett,9.83
1965,Apr-Jun,FE,Gargett,8.79
1966,Apr-Jun,FE,Gargett,12.02
1967,Apr-Jun,FE,Gargett,14.25
1968,Apr-Jun,FE,Gargett,10.66
1969,Apr-Jun,FE,Gargett,13.53
1970,Apr-Jun,FE,Gargett,13.98
1971,Apr-Jun,FE,Gargett,11.59
1972,Apr-Jun,FE,Gargett,11.01
1973,Apr-Jun,FE,Gargett,23.31
1974,Apr-Jun,FE,Gargett,15.24
1975,Apr-Jun,FE,Gargett,19.29
1976,Apr-Jun,FE,Gargett,25.63
1977,Apr-Jun,FE,Gargett,10.17
1978,Apr-Jun,FE,Gargett,21.76
1979,Apr-Jun,FE,Gargett,15.39
1980,Apr-Jun,FE,Gargett,18.05
1981,Apr-Jun,FE,Gargett,9.99
1982,Apr-Jun,FE,Gargett,8.6
1983,Apr-Jun,FE,Gargett,8.95
1984,Apr-Jun,FE,Gargett,18.72
1985,Apr-Jun,FE,Gargett,11.41
1986,Apr-Jun,FE,Gargett,8.33
1987,Apr-Jun,FE,Gargett,12.65
1988,Apr-Jun,FE,Gargett,29.38
1989,Apr-Jun,FE,Gargett,20.72
1990,Apr-Jun,FE,Gargett,11.77
1991,Apr-Jun,FE,Gargett,9.13
1992,Apr-Jun,FE,Gargett,8.3
1993,Apr-Jun,FE,Gargett,11.55
1994,Apr-Jun,FE,Gargett,9.14
1995,Apr-Jun,FE,Gargett,8.48
1996,Apr-Jun,FE,Gargett,13.51
1997,Apr-Jun,FE,Gargett,10.78
1998,Apr-Jun,FE,Gargett,23.16
1999,Apr-Jun,FE,Gargett,27.87
2000,Apr-Jun,FE,Gargett,14.69
2001,Apr-Jun,FE,Gargett,8.12
2002,Apr-Jun,FE,Gargett,8.06
2003,Apr-Jun,FE,Gargett,8.7
2004,Apr-Jun,FE,Gargett,9.27
2005,Apr-Jun,FE,Gargett,12.17
2006,Apr-Jun,FE,Gargett,17.65
2007,Apr-Jun,FE,Gargett,12.57
2008,Apr-Jun,FE,Gargett,14.88
2009,Apr-Jun,FE,Gargett,21.22
2010,Apr-Jun,FE,Gargett,20.49
2011,Apr-Jun,FE,Gargett,16.81
2012,Apr-Jun,FE,Gargett,24.24
2013,Apr-Jun,FE,Gargett,17.22
2014,Apr-Jun,FE,Gargett,8.43
2015,Apr-Jun,FE,Gargett,9.86
2016,Apr-Jun,FE,Gargett,16.22
2017,Apr-Jun,FE,Gargett,14.51
2018,Apr-Jun,FE,Gargett,17.17
1889,Jul-Sep,FE,Gargett,7.98
1890,Jul-Sep,FE,Gargett,8.26
1891,Jul-Sep,FE,Gargett,10.66
1892,Jul-Sep,FE,Gargett,6.56
1893,Jul-Sep,FE,Gargett,6.31
1894,Jul-Sep,FE,Gargett,13.11
1895,Jul-Sep,FE,Gargett,5.74
1896,Jul-Sep,FE,Gargett,6.55
1897,Jul-Sep,FE,Gargett,7.78
1898,Jul-Sep,FE,Gargett,6.54
1899,Jul-Sep,FE,Gargett,5.84
1900,Jul-Sep,FE,Gargett,6.91
1901,Jul-Sep,FE,Gargett,4.24
1902,Jul-Sep,FE,Gargett,0
1903,Jul-Sep,FE,Gargett,5.87
1904,Jul-Sep,FE,Gargett,6.66
1905,Jul-Sep,FE,Gargett,5.91
1906,Jul-Sep,FE,Gargett,7.48
1907,Jul-Sep,FE,Gargett,7.63
1908,Jul-Sep,FE,Gargett,5.63
1909,Jul-Sep,FE,Gargett,5.92
1910,Jul-Sep,FE,Gargett,7.22
1911,Jul-Sep,FE,Gargett,5.95
1912,Jul-Sep,FE,Gargett,12.39
1913,Jul-Sep,FE,Gargett,10.16
1914,Jul-Sep,FE,Gargett,10.19
1915,Jul-Sep,FE,Gargett,11.14
1916,Jul-Sep,FE,Gargett,5.47
1917,Jul-Sep,FE,Gargett,7.36
1918,Jul-Sep,FE,Gargett,5.97
1919,Jul-Sep,FE,Gargett,9.38
1920,Jul-Sep,FE,Gargett,9.81
1921,Jul-Sep,FE,Gargett,11.55
1922,Jul-Sep,FE,Gargett,8.39
1923,Jul-Sep,FE,Gargett,7.03
1924,Jul-Sep,FE,Gargett,9.72
1925,Jul-Sep,FE,Gargett,7.2
1926,Jul-Sep,FE,Gargett,8.25
1927,Jul-Sep,FE,Gargett,8.31
1928,Jul-Sep,FE,Gargett,6.74
1929,Jul-Sep,FE,Gargett,6.73
1930,Jul-Sep,FE,Gargett,12.23
1931,Jul-Sep,FE,Gargett,8.38
1932,Jul-Sep,FE,Gargett,6.98
1933,Jul-Sep,FE,Gargett,8.77
1934,Jul-Sep,FE,Gargett,9.65
1935,Jul-Sep,FE,Gargett,5.65
1936,Jul-Sep,FE,Gargett,11.61
1937,Jul-Sep,FE,Gargett,6.89
1938,Jul-Sep,FE,Gargett,8.14
1939,Jul-Sep,FE,Gargett,8.71
1940,Jul-Sep,FE,Gargett,7.53
1941,Jul-Sep,FE,Gargett,10.65
1942,Jul-Sep,FE,Gargett,17.55
1943,Jul-Sep,FE,Gargett,8.19
1944,Jul-Sep,FE,Gargett,8.85
1945,Jul-Sep,FE,Gargett,10.12
1946,Jul-Sep,FE,Gargett,7.42
1947,Jul-Sep,FE,Gargett,8.33
1948,Jul-Sep,FE,Gargett,7.28
1949,Jul-Sep,FE,Gargett,7.28
1950,Jul-Sep,FE,Gargett,25.8
1951,Jul-Sep,FE,Gargett,5.8
1952,Jul-Sep,FE,Gargett,7.51
1953,Jul-Sep,FE,Gargett,3.93
1954,Jul-Sep,FE,Gargett,7.79
1955,Jul-Sep,FE,Gargett,10.64
1956,Jul-Sep,FE,Gargett,9.68
1957,Jul-Sep,FE,Gargett,6.37
1958,Jul-Sep,FE,Gargett,9.37
1959,Jul-Sep,FE,Gargett,6.64
1960,Jul-Sep,FE,Gargett,6.81
1961,Jul-Sep,FE,Gargett,7.43
1962,Jul-Sep,FE,Gargett,6.16
1963,Jul-Sep,FE,Gargett,8.06
1964,Jul-Sep,FE,Gargett,8.18
1965,Jul-Sep,FE,Gargett,5.5
1966,Jul-Sep,FE,Gargett,3.38
1967,Jul-Sep,FE,Gargett,11.06
1968,Jul-Sep,FE,Gargett,6.18
1969,Jul-Sep,FE,Gargett,8.04
1970,Jul-Sep,FE,Gargett,6.38
1971,Jul-Sep,FE,Gargett,5.78
1972,Jul-Sep,FE,Gargett,8.45
1973,Jul-Sep,FE,Gargett,8.51
1974,Jul-Sep,FE,Gargett,8.26
1975,Jul-Sep,FE,Gargett,8.21
1976,Jul-Sep,FE,Gargett,8.48
1977,Jul-Sep,FE,Gargett,8.97
1978,Jul-Sep,FE,Gargett,4.12
1979,Jul-Sep,FE,Gargett,7.51
1980,Jul-Sep,FE,Gargett,8.15
1981,Jul-Sep,FE,Gargett,6.23
1982,Jul-Sep,FE,Gargett,4.78
1983,Jul-Sep,FE,Gargett,8.17
1984,Jul-Sep,FE,Gargett,5.18
1985,Jul-Sep,FE,Gargett,8.95
1986,Jul-Sep,FE,Gargett,7.27
1987,Jul-Sep,FE,Gargett,8.56
1988,Jul-Sep,FE,Gargett,9.63
1989,Jul-Sep,FE,Gargett,11.48
1990,Jul-Sep,FE,Gargett,9.61
1991,Jul-Sep,FE,Gargett,5.84
1992,Jul-Sep,FE,Gargett,10.88
1993,Jul-Sep,FE,Gargett,4.6
1994,Jul-Sep,FE,Gargett,2.49
1995,Jul-Sep,FE,Gargett,3.2
1996,Jul-Sep,FE,Gargett,2.51
1997,Jul-Sep,FE,Gargett,8.14
1998,Jul-Sep,FE,Gargett,12.08
1999,Jul-Sep,FE,Gargett,8.75
2000,Jul-Sep,FE,Gargett,9.94
2001,Jul-Sep,FE,Gargett,6.99
2002,Jul-Sep,FE,Gargett,5.26
2003,Jul-Sep,FE,Gargett,5.63
2004,Jul-Sep,FE,Gargett,5.22
2005,Jul-Sep,FE,Gargett,6.32
2006,Jul-Sep,FE,Gargett,8.26
2007,Jul-Sep,FE,Gargett,10.27
2008,Jul-Sep,FE,Gargett,6.75
2009,Jul-Sep,FE,Gargett,5.43
2010,Jul-Sep,FE,Gargett,7.51
2011,Jul-Sep,FE,Gargett,9.51
2012,Jul-Sep,FE,Gargett,13.71
2013,Jul-Sep,FE,Gargett,9.25
2014,Jul-Sep,FE,Gargett,7.9
2015,Jul-Sep,FE,Gargett,8.81
2016,Jul-Sep,FE,Gargett,8.95
2017,Jul-Sep,FE,Gargett,7.94
2018,Jul-Sep,FE,Gargett,5.83
1889,Oct-Dec,FE,Gargett,9.64
1890,Oct-Dec,FE,Gargett,11.57
1891,Oct-Dec,FE,Gargett,8.56
1892,Oct-Dec,FE,Gargett,10.35
1893,Oct-Dec,FE,Gargett,9.52
1894,Oct-Dec,FE,Gargett,8.15
1895,Oct-Dec,FE,Gargett,11.45
1896,Oct-Dec,FE,Gargett,11.4
1897,Oct-Dec,FE,Gargett,10.95
1898,Oct-Dec,FE,Gargett,11.43
1899,Oct-Dec,FE,Gargett,11.1
1900,Oct-Dec,FE,Gargett,11.67
1901,Oct-Dec,FE,Gargett,10.37
1902,Oct-Dec,FE,Gargett,0.67
1903,Oct-Dec,FE,Gargett,7.3
1904,Oct-Dec,FE,Gargett,6.16
1905,Oct-Dec,FE,Gargett,6.1
1906,Oct-Dec,FE,Gargett,8.85
1907,Oct-Dec,FE,Gargett,9.36
1908,Oct-Dec,FE,Gargett,11.11
1909,Oct-Dec,FE,Gargett,9.92
1910,Oct-Dec,FE,Gargett,9.46
1911,Oct-Dec,FE,Gargett,11.24
1912,Oct-Dec,FE,Gargett,8.4
1913,Oct-Dec,FE,Gargett,9.43
1914,Oct-Dec,FE,Gargett,9.45
1915,Oct-Dec,FE,Gargett,7.31
1916,Oct-Dec,FE,Gargett,8.36
1917,Oct-Dec,FE,Gargett,8.08
1918,Oct-Dec,FE,Gargett,10.02
1919,Oct-Dec,FE,Gargett,11.16
1920,Oct-Dec,FE,Gargett,9.93
1921,Oct-Dec,FE,Gargett,14.15
1922,Oct-Dec,FE,Gargett,10.18
1923,Oct-Dec,FE,Gargett,11.11
1924,Oct-Dec,FE,Gargett,11.38
1925,Oct-Dec,FE,Gargett,10.63
1926,Oct-Dec,FE,Gargett,10.33
1927,Oct-Dec,FE,Gargett,8.07
1928,Oct-Dec,FE,Gargett,10.82
1929,Oct-Dec,FE,Gargett,11.21
1930,Oct-Dec,FE,Gargett,9.44
1931,Oct-Dec,FE,Gargett,9.11
1932,Oct-Dec,FE,Gargett,9.34
1933,Oct-Dec,FE,Gargett,14.5
1934,Oct-Dec,FE,Gargett,7.61
1935,Oct-Dec,FE,Gargett,10.95
1936,Oct-Dec,FE,Gargett,9.39
1937,Oct-Dec,FE,Gargett,9.86
1938,Oct-Dec,FE,Gargett,7.8
1939,Oct-Dec,FE,Gargett,10.05
1940,Oct-Dec,FE,Gargett,10.26
1941,Oct-Dec,FE,Gargett,8.3
1942,Oct-Dec,FE,Gargett,9.44
1943,Oct-Dec,FE,Gargett,10.17
1944,Oct-Dec,FE,Gargett,10.02
1945,Oct-Dec,FE,Gargett,8.35
1946,Oct-Dec,FE,Gargett,11.36
1947,Oct-Dec,FE,Gargett,9.92
1948,Oct-Dec,FE,Gargett,11.45
1949,Oct-Dec,FE,Gargett,10.82
1950,Oct-Dec,FE,Gargett,21.91
1951,Oct-Dec,FE,Gargett,10.96
1952,Oct-Dec,FE,Gargett,10.76
1953,Oct-Dec,FE,Gargett,10.99
1954,Oct-Dec,FE,Gargett,8.51
1955,Oct-Dec,FE,Gargett,9.43
1956,Oct-Dec,FE,Gargett,7.89
1957,Oct-Dec,FE,Gargett,10.47
1958,Oct-Dec,FE,Gargett,9.64
1959,Oct-Dec,FE,Gargett,9.81
1960,Oct-Dec,FE,Gargett,10.44
1961,Oct-Dec,FE,Gargett,10.34
1962,Oct-Dec,FE,Gargett,9.84
1963,Oct-Dec,FE,Gargett,10.23
1964,Oct-Dec,FE,Gargett,9.43
1965,Oct-Dec,FE,Gargett,6.17
1966,Oct-Dec,FE,Gargett,6.64
1967,Oct-Dec,FE,Gargett,7.9
1968,Oct-Dec,FE,Gargett,11.39
1969,Oct-Dec,FE,Gargett,9.54
1970,Oct-Dec,FE,Gargett,9
1971,Oct-Dec,FE,Gargett,10.26
1972,Oct-Dec,FE,Gargett,11.13
1973,Oct-Dec,FE,Gargett,6.4
1974,Oct-Dec,FE,Gargett,8.24
1975,Oct-Dec,FE,Gargett,8.29
1976,Oct-Dec,FE,Gargett,7.64
1977,Oct-Dec,FE,Gargett,8.56
1978,Oct-Dec,FE,Gargett,8.47
1979,Oct-Dec,FE,Gargett,10.26
1980,Oct-Dec,FE,Gargett,9.27
1981,Oct-Dec,FE,Gargett,7.1
1982,Oct-Dec,FE,Gargett,11.44
1983,Oct-Dec,FE,Gargett,8.52
1984,Oct-Dec,FE,Gargett,8.65
1985,Oct-Dec,FE,Gargett,8.27
1986,Oct-Dec,FE,Gargett,10.42
1987,Oct-Dec,FE,Gargett,8.19
1988,Oct-Dec,FE,Gargett,8.77
1989,Oct-Dec,FE,Gargett,9.35
1990,Oct-Dec,FE,Gargett,9.61
1991,Oct-Dec,FE,Gargett,9.6
1992,Oct-Dec,FE,Gargett,9.38
1993,Oct-Dec,FE,Gargett,6.48
1994,Oct-Dec,FE,Gargett,7.59
1995,Oct-Dec,FE,Gargett,6.52
1996,Oct-Dec,FE,Gargett,4.85
1997,Oct-Dec,FE,Gargett,9.98
1998,Oct-Dec,FE,Gargett,28.71
1999,Oct-Dec,FE,Gargett,8.62
2000,Oct-Dec,FE,Gargett,6.21
2001,Oct-Dec,FE,Gargett,9.06
2002,Oct-Dec,FE,Gargett,11.39
2003,Oct-Dec,FE,Gargett,10.43
2004,Oct-Dec,FE,Gargett,1.04
2005,Oct-Dec,FE,Gargett,6.16
2006,Oct-Dec,FE,Gargett,7.98
2007,Oct-Dec,FE,Gargett,7.94
2008,Oct-Dec,FE,Gargett,10.4
2009,Oct-Dec,FE,Gargett,9.11
2010,Oct-Dec,FE,Gargett,13.69
2011,Oct-Dec,FE,Gargett,8.48
2012,Oct-Dec,FE,Gargett,9.12
2013,Oct-Dec,FE,Gargett,9.09
2014,Oct-Dec,FE,Gargett,9.1
2015,Oct-Dec,FE,Gargett,9.43
2016,Oct-Dec,FE,Gargett,8.74
2017,Oct-Dec,FE,Gargett,7.59
2018,Oct-Dec,FE,Gargett,8.31
1889,Jan-Mar,PD,Mirani,6.97
1890,Jan-Mar,PD,Mirani,9.44
1891,Jan-Mar,PD,Mirani,8.57
1892,Jan-Mar,PD,Mirani,5.14
1893,Jan-Mar,PD,Mirani,8.74
1894,Jan-Mar,PD,Mirani,11
1895,Jan-Mar,PD,Mirani,10.37
1896,Jan-Mar,PD,Mirani,10.53
1897,Jan-Mar,PD,Mirani,8.78
1898,Jan-Mar,PD,Mirani,6.06
1899,Jan-Mar,PD,Mirani,11.3
1900,Jan-Mar,PD,Mirani,11.11
1901,Jan-Mar,PD,Mirani,4.19
1902,Jan-Mar,PD,Mirani,5.19
1903,Jan-Mar,PD,Mirani,13.18
1904,Jan-Mar,PD,Mirani,10.47
1905,Jan-Mar,PD,Mirani,8.03
1906,Jan-Mar,PD,Mirani,9.43
1907,Jan-Mar,PD,Mirani,9.77
1908,Jan-Mar,PD,Mirani,9.4
1909,Jan-Mar,PD,Mirani,5.05
1910,Jan-Mar,PD,Mirani,9.6
1911,Jan-Mar,PD,Mirani,2.98
1912,Jan-Mar,PD,Mirani,13.82
1913,Jan-Mar,PD,Mirani,9.45
1914,Jan-Mar,PD,Mirani,1
1915,Jan-Mar,PD,Mirani,5.26
1916,Jan-Mar,PD,Mirani,8.08
1917,Jan-Mar,PD,Mirani,5.88
1918,Jan-Mar,PD,Mirani,7.09
1919,Jan-Mar,PD,Mirani,6.3
1920,Jan-Mar,PD,Mirani,6.57
1921,Jan-Mar,PD,Mirani,12.14
1922,Jan-Mar,PD,Mirani,7.56
1923,Jan-Mar,PD,Mirani,6.18
1924,Jan-Mar,PD,Mirani,6.12
1925,Jan-Mar,PD,Mirani,3.96
1926,Jan-Mar,PD,Mirani,13.02
1927,Jan-Mar,PD,Mirani,19.48
1928,Jan-Mar,PD,Mirani,9.91
1929,Jan-Mar,PD,Mirani,8.86
1930,Jan-Mar,PD,Mirani,4.18
1931,Jan-Mar,PD,Mirani,8.99
1932,Jan-Mar,PD,Mirani,7.01
1933,Jan-Mar,PD,Mirani,13.03
1934,Jan-Mar,PD,Mirani,3.1
1935,Jan-Mar,PD,Mirani,3.04
1936,Jan-Mar,PD,Mirani,5.58
1937,Jan-Mar,PD,Mirani,4.39
1938,Jan-Mar,PD,Mirani,7.78
1939,Jan-Mar,PD,Mirani,6.65
1940,Jan-Mar,PD,Mirani,9.7
1941,Jan-Mar,PD,Mirani,5.59
1942,Jan-Mar,PD,Mirani,12.84
1943,Jan-Mar,PD,Mirani,7.8
1944,Jan-Mar,PD,Mirani,2.33
1945,Jan-Mar,PD,Mirani,15.26
1946,Jan-Mar,PD,Mirani,7.2
1947,Jan-Mar,PD,Mirani,4.44
1948,Jan-Mar,PD,Mirani,7.08
1949,Jan-Mar,PD,Mirani,4.1
1950,Jan-Mar,PD,Mirani,20.83
1951,Jan-Mar,PD,Mirani,9.37
1952,Jan-Mar,PD,Mirani,10.23
1953,Jan-Mar,PD,Mirani,6.18
1954,Jan-Mar,PD,Mirani,3.63
1955,Jan-Mar,PD,Mirani,5.62
1956,Jan-Mar,PD,Mirani,12.63
1957,Jan-Mar,PD,Mirani,14.44
1958,Jan-Mar,PD,Mirani,8.65
1959,Jan-Mar,PD,Mirani,9.38
1960,Jan-Mar,PD,Mirani,9.58
1961,Jan-Mar,PD,Mirani,6.66
1962,Jan-Mar,PD,Mirani,11.4
1963,Jan-Mar,PD,Mirani,5.3
1964,Jan-Mar,PD,Mirani,5.2
1965,Jan-Mar,PD,Mirani,8.94
1966,Jan-Mar,PD,Mirani,6.46
1967,Jan-Mar,PD,Mirani,9.41
1968,Jan-Mar,PD,Mirani,1.82
1969,Jan-Mar,PD,Mirani,10.01
1970,Jan-Mar,PD,Mirani,5.13
1971,Jan-Mar,PD,Mirani,12.33
1972,Jan-Mar,PD,Mirani,4.65
1973,Jan-Mar,PD,Mirani,9.51
1974,Jan-Mar,PD,Mirani,11.38
1975,Jan-Mar,PD,Mirani,15.11
1976,Jan-Mar,PD,Mirani,10.2
1977,Jan-Mar,PD,Mirani,7.15
1978,Jan-Mar,PD,Mirani,4.26
1979,Jan-Mar,PD,Mirani,9.57
1980,Jan-Mar,PD,Mirani,7.79
1981,Jan-Mar,PD,Mirani,2.27
1982,Jan-Mar,PD,Mirani,1.4
1983,Jan-Mar,PD,Mirani,5.76
1984,Jan-Mar,PD,Mirani,3.02
1985,Jan-Mar,PD,Mirani,8.17
1986,Jan-Mar,PD,Mirani,1.06
1987,Jan-Mar,PD,Mirani,3.52
1988,Jan-Mar,PD,Mirani,7.24
1989,Jan-Mar,PD,Mirani,1.84
1990,Jan-Mar,PD,Mirani,12.68
1991,Jan-Mar,PD,Mirani,0.91
1992,Jan-Mar,PD,Mirani,5.65
1993,Jan-Mar,PD,Mirani,4.61
1994,Jan-Mar,PD,Mirani,4.04
1995,Jan-Mar,PD,Mirani,5.54
1996,Jan-Mar,PD,Mirani,3.79
1997,Jan-Mar,PD,Mirani,8.64
1998,Jan-Mar,PD,Mirani,10.62
1999,Jan-Mar,PD,Mirani,14.3
2000,Jan-Mar,PD,Mirani,13.01
2001,Jan-Mar,PD,Mirani,6.89
2002,Jan-Mar,PD,Mirani,2.7
2003,Jan-Mar,PD,Mirani,7.09
2004,Jan-Mar,PD,Mirani,6.34
2005,Jan-Mar,PD,Mirani,3.67
2006,Jan-Mar,PD,Mirani,11.63
2007,Jan-Mar,PD,Mirani,13.19
2008,Jan-Mar,PD,Mirani,7.86
2009,Jan-Mar,PD,Mirani,6.54
2010,Jan-Mar,PD,Mirani,12.88
2011,Jan-Mar,PD,Mirani,7.99
2012,Jan-Mar,PD,Mirani,8
2013,Jan-Mar,PD,Mirani,8.41
2014,Jan-Mar,PD,Mirani,8.06
2015,Jan-Mar,PD,Mirani,3.34
2016,Jan-Mar,PD,Mirani,10.24
2017,Jan-Mar,PD,Mirani,6.21
2018,Jan-Mar,PD,Mirani,8.9
1889,Apr-Jun,PD,Mirani,22.65
1890,Apr-Jun,PD,Mirani,15.83
1891,Apr-Jun,PD,Mirani,8.64
1892,Apr-Jun,PD,Mirani,12.42
1893,Apr-Jun,PD,Mirani,16.46
1894,Apr-Jun,PD,Mirani,16.15
1895,Apr-Jun,PD,Mirani,19.81
1896,Apr-Jun,PD,Mirani,8.87
1897,Apr-Jun,PD,Mirani,22.57
1898,Apr-Jun,PD,Mirani,15.9
1899,Apr-Jun,PD,Mirani,5.83
1900,Apr-Jun,PD,Mirani,14.75
1901,Apr-Jun,PD,Mirani,1.7
1902,Apr-Jun,PD,Mirani,14.97
1903,Apr-Jun,PD,Mirani,12.61
1904,Apr-Jun,PD,Mirani,12.81
1905,Apr-Jun,PD,Mirani,19.65
1906,Apr-Jun,PD,Mirani,9.43
1907,Apr-Jun,PD,Mirani,15.42
1908,Apr-Jun,PD,Mirani,13.88
1909,Apr-Jun,PD,Mirani,24.43
1910,Apr-Jun,PD,Mirani,16.88
1911,Apr-Jun,PD,Mirani,8.02
1912,Apr-Jun,PD,Mirani,17.53
1913,Apr-Jun,PD,Mirani,15.36
1914,Apr-Jun,PD,Mirani,0
1915,Apr-Jun,PD,Mirani,6.01
1916,Apr-Jun,PD,Mirani,16.68
1917,Apr-Jun,PD,Mirani,18.49
1918,Apr-Jun,PD,Mirani,12.97
1919,Apr-Jun,PD,Mirani,10.87
1920,Apr-Jun,PD,Mirani,16.47
1921,Apr-Jun,PD,Mirani,13.38
1922,Apr-Jun,PD,Mirani,8.61
1923,Apr-Jun,PD,Mirani,15.26
1924,Apr-Jun,PD,Mirani,17.35
1925,Apr-Jun,PD,Mirani,5.37
1926,Apr-Jun,PD,Mirani,14.17
1927,Apr-Jun,PD,Mirani,18.12
1928,Apr-Jun,PD,Mirani,16.4
1929,Apr-Jun,PD,Mirani,13.06
1930,Apr-Jun,PD,Mirani,12.05
1931,Apr-Jun,PD,Mirani,11.7
1932,Apr-Jun,PD,Mirani,11.76
1933,Apr-Jun,PD,Mirani,17.4
